pixel_x,pixel_y,axial_strain_global_pct,deviator_stress_kPa,q_smooth_kPa,axial_strain_local_pct,figure_id,specimen_id,stage_index,stage,matric_suction_kPa,source_q_peak_kPa,stress_per_pixel_kPa,x_max_pct
107,340.0,0.15789473684210525,57.33673758865248,66.74354609929078,0.0,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
108,330.5,0.18045112781954886,65.84765957446808,67.63943262411348,0.022556390977443608,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
109,328.5,0.20300751879699247,67.63943262411348,70.77503546099291,0.045112781954887216,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
110,321.5,0.22556390977443608,73.91063829787234,73.91063829787234,0.06766917293233082,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
111,312.0,0.24812030075187969,82.42156028368794,82.42156028368794,0.09022556390977443,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
112,304.5,0.2706766917293233,89.14070921985815,89.14070921985815,0.11278195488721804,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
113,294.5,0.2932330827067669,98.09957446808511,98.09957446808511,0.13533834586466165,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
114,288.5,0.3157894736842105,103.47489361702128,103.47489361702128,0.15789473684210525,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
115,285.0,0.3383458646616541,106.61049645390071,106.61049645390071,0.18045112781954886,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
116,279.5,0.3609022556390977,111.53787234042554,111.53787234042554,0.20300751879699247,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
117,273.0,0.38345864661654133,117.36113475177305,117.36113475177305,0.22556390977443608,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
118,269.5,0.40601503759398494,120.49673758865248,120.49673758865248,0.24812030075187969,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
119,261.5,0.42857142857142855,127.66382978723405,127.66382978723405,0.2706766917293233,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
120,258.0,0.45112781954887216,130.79943262411348,130.79943262411348,0.2932330827067669,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
121,253.5,0.47368421052631576,134.8309219858156,134.8309219858156,0.3157894736842105,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
122,249.5,0.49624060150375937,138.4144680851064,138.4144680851064,0.3383458646616541,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
123,241.5,0.518796992481203,145.58156028368793,145.58156028368793,0.3609022556390978,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
124,236.0,0.5413533834586466,150.50893617021276,150.50893617021276,0.38345864661654133,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
125,231.0,0.5639097744360901,154.98836879432625,154.98836879432625,0.4060150375939849,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
126,228.0,0.5864661654135338,157.67602836879433,157.67602836879433,0.42857142857142855,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
127,225.5,0.6090225563909775,159.91574468085108,159.91574468085108,0.4511278195488722,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
128,221.0,0.631578947368421,163.9472340425532,163.9472340425532,0.47368421052631576,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
129,217.5,0.6541353383458646,167.08283687943262,167.08283687943262,0.4962406015037593,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
130,212.0,0.6766917293233082,172.01021276595745,172.01021276595745,0.518796992481203,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
131,207.5,0.6992481203007519,176.04170212765956,176.04170212765956,0.5413533834586466,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
132,203.0,0.7218045112781954,180.0731914893617,180.0731914893617,0.5639097744360901,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
133,200.0,0.744360902255639,182.7608510638298,182.7608510638298,0.5864661654135337,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
134,199.0,0.7669172932330827,183.65673758865248,183.65673758865248,0.6090225563909775,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
135,193.5,0.7894736842105263,188.5841134751773,188.5841134751773,0.631578947368421,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
136,190.5,0.8120300751879699,191.2717730496454,191.2717730496454,0.6541353383458646,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
137,187.5,0.8345864661654134,193.95943262411348,193.95943262411348,0.6766917293233081,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
138,185.0,0.8571428571428571,196.19914893617022,196.19914893617022,0.6992481203007519,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
139,181.0,0.8796992481203008,199.782695035461,199.782695035461,0.7218045112781954,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
140,179.0,0.9022556390977443,201.5744680851064,201.5744680851064,0.744360902255639,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
141,176.0,0.9248120300751879,204.26212765957447,204.26212765957447,0.7669172932330826,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
142,173.0,0.9473684210526315,206.94978723404256,206.94978723404256,0.7894736842105263,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
143,169.5,0.9699248120300752,210.085390070922,210.085390070922,0.8120300751879699,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
144,162.0,0.9924812030075187,216.8045390070922,216.8045390070922,0.8345864661654134,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
145,160.5,1.0150375939849623,218.14836879432625,218.14836879432625,0.857142857142857,F-20,ST-77,1,single,55.2,315.8,0.895886524822695,12.0
