pixel_x,pixel_y,axial_strain_global_pct,deviator_stress_kPa,q_smooth_kPa,axial_strain_local_pct,figure_id,specimen_id,stage_index,stage,matric_suction_kPa,source_q_peak_kPa,stress_per_pixel_kPa,x_max_pct
101,403.5,0.10256410256410256,19.304405059168385,22.393109868635328,0.0,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
102,402.0,0.11721611721611722,21.62093366626859,23.165286071002065,0.014652014652014655,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
103,401.0,0.13186813186813187,23.165286071002065,23.551374172185433,0.02930402930402931,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
104,400.5,0.14652014652014653,23.937462273368798,23.937462273368798,0.043956043956043966,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
105,400.0,0.16117216117216118,24.709638475735535,24.709638475735535,0.05860805860805862,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
106,399.0,0.17582417582417584,26.253990880469004,26.253990880469004,0.07326007326007328,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
107,396.5,0.19047619047619047,30.114871892302684,30.114871892302684,0.0879120879120879,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
108,394.5,0.20512820512820512,33.20357670176963,33.20357670176963,0.10256410256410256,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
109,393.0,0.21978021978021978,35.52010530886983,35.52010530886983,0.11721611721611722,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
110,392.0,0.23443223443223443,37.0644577136033,37.0644577136033,0.13186813186813187,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
111,390.0,0.2490842490842491,40.15316252307024,40.15316252307024,0.14652014652014653,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
112,389.0,0.26373626373626374,41.69751492780372,41.69751492780372,0.16117216117216118,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
113,388.5,0.2783882783882784,42.46969113017045,42.46969113017045,0.17582417582417584,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
114,387.5,0.29304029304029305,44.01404353490392,44.01404353490392,0.1904761904761905,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
115,386.0,0.3076923076923077,46.33057214200413,46.33057214200413,0.20512820512820515,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
116,385.0,0.32234432234432236,47.874924546737596,47.874924546737596,0.2197802197802198,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
117,385.0,0.336996336996337,47.874924546737596,47.874924546737596,0.23443223443223446,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
118,384.0,0.3516483516483517,49.41927695147107,49.41927695147107,0.24908424908424912,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
119,383.0,0.3663003663003663,50.96362935620454,50.96362935620454,0.2637362637362637,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
120,382.0,0.38095238095238093,52.50798176093801,52.50798176093801,0.2783882783882784,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
121,381.5,0.3956043956043956,53.280157963304745,53.280157963304745,0.293040293040293,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
122,380.5,0.41025641025641024,54.82451036803822,54.82451036803822,0.3076923076923077,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
123,380.0,0.4249084249084249,55.596686570404955,55.596686570404955,0.3223443223443223,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
124,379.0,0.43956043956043955,57.14103897513842,57.14103897513842,0.336996336996337,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
125,378.0,0.4542124542124542,58.685391379871895,58.685391379871895,0.3516483516483516,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
126,377.5,0.46886446886446886,59.45756758223863,59.45756758223863,0.36630036630036633,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
127,376.5,0.4835164835164835,61.0019199869721,61.0019199869721,0.38095238095238093,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
128,376.0,0.4981684981684982,61.774096189338835,61.774096189338835,0.39560439560439564,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
129,375.5,0.5128205128205128,62.54627239170557,62.54627239170557,0.41025641025641024,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
130,374.5,0.5274725274725275,64.09062479643904,64.09062479643904,0.42490842490842495,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
131,373.5,0.5421245421245421,65.63497720117252,65.63497720117252,0.43956043956043955,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
132,372.5,0.5567765567765568,67.17932960590599,67.17932960590599,0.45421245421245426,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
133,372.0,0.5714285714285714,67.95150580827271,67.95150580827271,0.46886446886446886,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
134,371.0,0.5860805860805861,69.49585821300619,69.49585821300619,0.4835164835164836,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
135,370.5,0.6007326007326007,70.26803441537292,70.26803441537292,0.4981684981684982,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
136,370.0,0.6153846153846154,71.04021061773966,71.04021061773966,0.5128205128205129,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
137,369.5,0.63003663003663,71.8123868201064,71.8123868201064,0.5274725274725275,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
138,368.5,0.6446886446886447,73.35673922483987,73.35673922483987,0.5421245421245422,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
139,368.0,0.6593406593406593,74.1289154272066,74.1289154272066,0.5567765567765568,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
140,367.0,0.673992673992674,75.67326783194008,75.67326783194008,0.5714285714285715,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
141,366.0,0.6886446886446886,77.21762023667354,77.21762023667354,0.5860805860805861,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
142,365.0,0.7032967032967034,78.76197264140701,78.76197264140701,0.6007326007326008,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
143,364.5,0.717948717948718,79.53414884377375,79.53414884377375,0.6153846153846154,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
144,363.5,0.7326007326007326,81.07850124850722,81.07850124850722,0.63003663003663,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
145,363.0,0.7472527472527473,81.85067745087396,81.85067745087396,0.6446886446886447,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
146,362.5,0.7619047619047619,82.6228536532407,82.6228536532407,0.6593406593406593,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
147,362.0,0.7765567765567766,83.39502985560743,83.39502985560743,0.673992673992674,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
148,361.5,0.7912087912087912,84.16720605797417,84.16720605797417,0.6886446886446886,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
149,360.5,0.8058608058608059,85.71155846270763,85.71155846270763,0.7032967032967034,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
150,359.5,0.8205128205128205,87.2559108674411,87.2559108674411,0.717948717948718,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
151,358.5,0.8351648351648352,88.80026327217458,88.80026327217458,0.7326007326007327,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
152,357.5,0.8498168498168498,90.34461567690805,90.34461567690805,0.7472527472527473,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
153,357.0,0.8644688644688645,91.11679187927479,91.11679187927479,0.761904761904762,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
154,356.5,0.8791208791208791,91.88896808164152,91.88896808164152,0.7765567765567766,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
155,356.0,0.8937728937728938,92.66114428400826,92.66114428400826,0.7912087912087913,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
156,355.5,0.9084249084249084,93.433320486375,93.433320486375,0.8058608058608059,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
157,354.5,0.9230769230769231,94.97767289110845,94.97767289110845,0.8205128205128206,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
158,353.5,0.9377289377289377,96.52202529584193,96.52202529584193,0.8351648351648352,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
159,352.5,0.9523809523809523,98.0663777005754,98.0663777005754,0.8498168498168498,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
160,352.0,0.967032967032967,98.83855390294214,98.83855390294214,0.8644688644688645,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
161,352.0,0.9816849816849816,98.83855390294214,98.83855390294214,0.8791208791208791,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
162,351.5,0.9963369963369964,99.61073010530887,99.61073010530887,0.8937728937728938,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
163,351.0,1.010989010989011,100.38290630767561,100.38290630767561,0.9084249084249084,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
164,350.5,1.0256410256410255,101.15508251004235,101.15508251004235,0.923076923076923,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
165,349.5,1.0402930402930404,102.69943491477582,102.69943491477582,0.9377289377289378,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
166,348.5,1.054945054945055,104.24378731950928,104.24378731950928,0.9523809523809524,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
167,348.0,1.0695970695970696,105.01596352187602,105.01596352187602,0.967032967032967,F-47,ST-80B,1,1st,6.9,234.3,1.544352404733471,8.0
