pixel_x,pixel_y,axial_strain_global_pct,deviator_stress_kPa,q_smooth_kPa,axial_strain_local_pct,figure_id,specimen_id,stage_index,stage,matric_suction_kPa,source_q_peak_kPa,stress_per_pixel_kPa,x_max_pct
105,388.5,0.10313075506445672,16.371037463976943,19.803674351585016,0.0,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
106,387.0,0.11786372007366483,17.955331412103746,21.652017291066283,0.014732965009208107,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
107,383.5,0.13259668508287292,21.652017291066283,23.50036023054755,0.0294659300184162,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
108,380.0,0.14732965009208104,25.34870317002882,25.34870317002882,0.04419889502762432,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
109,379.0,0.16206261510128914,26.404899135446687,26.404899135446687,0.058931860036832415,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
110,374.5,0.17679558011049723,31.157780979827088,31.157780979827088,0.07366482504604051,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
111,372.5,0.19152854511970535,33.27017291066282,33.27017291066282,0.08839779005524863,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
112,372.0,0.20626151012891344,33.79827089337176,33.79827089337176,0.10313075506445672,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
113,371.0,0.22099447513812154,34.85446685878963,34.85446685878963,0.11786372007366482,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
114,367.0,0.23572744014732966,39.0792507204611,39.0792507204611,0.13259668508287292,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
115,366.0,0.2504604051565378,40.13544668587896,40.13544668587896,0.14732965009208104,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
116,363.0,0.26519337016574585,43.304034582132566,43.304034582132566,0.1620626151012891,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
117,362.0,0.27992633517495397,44.36023054755043,44.36023054755043,0.17679558011049723,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
118,361.5,0.2946593001841621,44.888328530259365,44.888328530259365,0.19152854511970535,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
119,361.0,0.30939226519337015,45.4164265129683,45.4164265129683,0.20626151012891342,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
120,359.5,0.3241252302025783,47.0007204610951,47.0007204610951,0.22099447513812154,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
121,355.5,0.3388581952117864,51.22550432276657,51.22550432276657,0.23572744014732966,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
122,354.5,0.35359116022099446,52.28170028818444,52.28170028818444,0.2504604051565377,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
123,351.0,0.3683241252302026,55.97838616714697,55.97838616714697,0.26519337016574585,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
124,350.5,0.3830570902394107,56.50648414985591,56.50648414985591,0.27992633517495397,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
125,349.5,0.39779005524861877,57.56268011527377,57.56268011527377,0.29465930018416203,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
126,348.5,0.4125230202578269,58.61887608069164,58.61887608069164,0.30939226519337015,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
127,344.0,0.427255985267035,63.371757925072046,63.371757925072046,0.3241252302025783,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
128,343.0,0.4419889502762431,64.42795389048992,64.42795389048992,0.33885819521178634,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
129,342.0,0.4567219152854512,65.48414985590777,65.48414985590777,0.35359116022099446,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
130,338.5,0.4714548802946593,69.18083573487031,69.18083573487031,0.3683241252302026,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
131,337.5,0.4861878453038674,70.23703170028818,70.23703170028818,0.38305709023941065,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
132,337.0,0.5009208103130756,70.76512968299711,70.76512968299711,0.3977900552486188,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
133,335.5,0.5156537753222836,72.34942363112391,72.34942363112391,0.4125230202578269,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
134,331.5,0.5303867403314917,76.5742074927954,76.5742074927954,0.42725598526703495,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
135,330.5,0.5451197053406999,77.63040345821325,77.63040345821325,0.44198895027624313,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
136,327.0,0.5598526703499079,81.32708933717579,81.32708933717579,0.4567219152854512,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
137,326.5,0.574585635359116,81.85518731988472,81.85518731988472,0.47145488029465926,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
138,325.5,0.5893186003683242,82.91138328530259,82.91138328530259,0.48618784530386744,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
139,324.5,0.6040515653775322,83.96757925072046,83.96757925072046,0.5009208103130756,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
140,320.5,0.6187845303867403,88.19236311239193,88.19236311239193,0.5156537753222836,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
141,319.5,0.6335174953959485,89.2485590778098,89.2485590778098,0.5303867403314918,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
142,318.5,0.6482504604051565,90.30475504322766,90.30475504322766,0.5451197053406999,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
143,315.5,0.6629834254143646,93.47334293948127,93.47334293948127,0.5598526703499079,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
144,314.5,0.6777163904235728,94.52953890489914,94.52953890489914,0.5745856353591161,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
145,314.0,0.6924493554327809,95.05763688760807,95.05763688760807,0.5893186003683242,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
146,313.5,0.7071823204419889,95.585734870317,95.585734870317,0.6040515653775322,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
147,310.5,0.7219152854511971,98.75432276657061,98.75432276657061,0.6187845303867404,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
148,309.0,0.7366482504604052,100.33861671469741,100.33861671469741,0.6335174953959485,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
149,306.5,0.7513812154696132,102.97910662824208,102.97910662824208,0.6482504604051565,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
150,305.5,0.7661141804788214,104.03530259365994,104.03530259365994,0.6629834254143647,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
151,305.0,0.7808471454880295,104.56340057636888,104.56340057636888,0.6777163904235728,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
152,304.5,0.7955801104972375,105.0914985590778,105.0914985590778,0.6924493554327809,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
153,303.5,0.8103130755064457,106.14769452449568,106.14769452449568,0.707182320441989,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
154,299.0,0.8250460405156538,110.90057636887607,110.90057636887607,0.7219152854511971,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
155,298.0,0.8397790055248618,111.95677233429394,111.95677233429394,0.7366482504604052,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
156,297.0,0.85451197053407,113.01296829971182,113.01296829971182,0.7513812154696133,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
157,293.5,0.8692449355432781,116.70965417867436,116.70965417867436,0.7661141804788214,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
158,292.5,0.8839779005524862,117.76585014409221,117.76585014409221,0.7808471454880295,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
159,292.0,0.8987108655616943,118.29394812680115,118.29394812680115,0.7955801104972376,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
160,291.0,0.9134438305709024,119.35014409221903,119.35014409221903,0.8103130755064457,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
161,287.0,0.9281767955801105,123.5749279538905,123.5749279538905,0.8250460405156538,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
162,286.0,0.9429097605893186,124.63112391930835,124.63112391930835,0.839779005524862,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
163,283.0,0.9576427255985267,127.79971181556196,127.79971181556196,0.85451197053407,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
164,282.0,0.9723756906077348,128.85590778097983,128.85590778097983,0.8692449355432781,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
165,281.5,0.9871086556169429,129.38400576368875,129.38400576368875,0.8839779005524863,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
166,281.0,1.0018416206261511,129.9121037463977,129.9121037463977,0.8987108655616944,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
167,279.5,1.0165745856353592,131.4963976945245,131.4963976945245,0.9134438305709025,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
168,275.5,1.0313075506445673,135.72118155619597,135.72118155619597,0.9281767955801106,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
169,274.5,1.0460405156537753,136.77737752161383,136.77737752161383,0.9429097605893186,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
170,271.0,1.0607734806629834,140.47406340057637,140.47406340057637,0.9576427255985267,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
171,270.5,1.0755064456721914,141.0021613832853,141.0021613832853,0.9723756906077348,F-32,ST-57,1,1st,10.3,318.4,1.0561959654178674,8.0
