source_table,test_family,area,soil_type,specimen_id,depth_m,stage,sigma_c_net_kPa,matric_suction_kPa,sigma_a_peak_kPa,gamma_d_g_cm3,degree_saturation,qc_specimen_id_outside_program_range,qc_id_note,qc_source_confirmed,tube_id,q_peak_kPa,proposed_split,deviator_stress_peak_kPa,peak_stress_definition
F1,single_stage,0.5:1 Slope,MH,ST-36,0.6-1.2,single,27.6,152.0,264.5,1.27,0.6,False,,True,ST-36,264.5,holdout,264.5,measured peak deviatoric stress from Appendix F
F1,single_stage,0.5:1 Slope,MH,ST-91,3.0-3.5,single,69.0,27.6,187.5,1.3,0.92,False,,True,ST-91,187.5,holdout,187.5,measured peak deviatoric stress from Appendix F
F1,single_stage,0.5:1 Slope,MH,ST-40,3.1-3.7,single,34.5,34.5,160.0,1.16,0.75,False,,True,ST-40,160.0,calibration,160.0,measured peak deviatoric stress from Appendix F
F1,single_stage,0.5:1 Slope,MH,ST-42,8.5-9.1,single,75.8,20.7,200.5,1.32,0.98,False,,True,ST-42,200.5,calibration,200.5,measured peak deviatoric stress from Appendix F
F1,single_stage,0.5:1 Slope,MH,ST-43,10.3-10.9,single,103.4,13.8,388.9,1.67,0.98,False,,True,ST-43,388.9,calibration,388.9,measured peak deviatoric stress from Appendix F
F1,single_stage,0.5:1 Slope,MH,ST-94,12.0-12.6,single,113.8,37.9,433.7,1.36,0.94,False,,True,ST-94,433.7,calibration,433.7,measured peak deviatoric stress from Appendix F
F1,single_stage,0.25:1 Slope,MH,ST-47,0.7-1.3,single,82.7,89.6,292.8,1.09,0.65,False,,True,ST-47,292.8,calibration,292.8,measured peak deviatoric stress from Appendix F
F1,single_stage,0.25:1 Slope,MH,ST-124,1.2-1.8,single,137.9,62.1,353.0,1.2,0.81,True,source-confirmed in Appendix F; outside initial tube-range summary,True,ST-124,353.0,holdout,353.0,measured peak deviatoric stress from Appendix F
F1,single_stage,0.25:1 Slope,MH,ST-50,3.0-3.5,single,41.4,62.1,197.2,1.11,0.71,False,,True,ST-50,197.2,calibration,197.2,measured peak deviatoric stress from Appendix F
F1,single_stage,0.25:1 Slope,MH,ST-53,7.7-8.3,single,82.7,27.6,202.7,1.17,0.92,False,,True,ST-53,202.7,calibration,202.7,measured peak deviatoric stress from Appendix F
F1,single_stage,0.25:1 Slope,MH,ST-54,9.2-9.8,single,93.1,24.1,239.9,1.36,0.94,False,,True,ST-54,239.9,calibration,239.9,measured peak deviatoric stress from Appendix F
F1,single_stage,1:1 Slope,SC,ST-59B,0.5-1.0,single,20.7,72.4,175.1,1.74,0.52,False,,True,ST-59,175.1,calibration,175.1,measured peak deviatoric stress from Appendix F
F1,single_stage,1:1 Slope,SC,ST-60,1.5-2.0,single,20.7,55.2,175.1,1.82,0.61,False,,True,ST-60,175.1,calibration,175.1,measured peak deviatoric stress from Appendix F
F1,single_stage,1:1 Slope,SC,ST-114B,0.5-1.1,single,82.7,55.2,336.5,1.72,0.63,True,source-confirmed in Appendix F; outside initial tube-range summary,True,ST-114,336.5,holdout,336.5,measured peak deviatoric stress from Appendix F
F1,single_stage,1:1 Slope,SC,ST-116E,0.5-1.1,single,137.9,10.3,392.3,1.76,0.79,True,source-confirmed in Appendix F; outside initial tube-range summary,True,ST-116,392.3,calibration,392.3,measured peak deviatoric stress from Appendix F
F1,single_stage,1:1 Slope,ML,ST-65A,9.4-10.0,single,82.7,31.0,388.2,1.67,0.98,False,,True,ST-65,388.2,holdout,388.2,measured peak deviatoric stress from Appendix F
F1,single_stage,1:1 Slope,ML,ST-65B,9.4-10.0,single,100.0,31.0,432.3,1.71,0.99,False,,True,ST-65,432.3,holdout,432.3,measured peak deviatoric stress from Appendix F
F1,single_stage,Sheet pile,ML,ST-75,7.4-8.0,single,75.8,27.6,281.3,1.63,0.88,False,,True,ST-75,281.3,calibration,281.3,measured peak deviatoric stress from Appendix F
F1,single_stage,Sheet pile,ML,ST-77,8.0-8.5,single,69.0,55.2,315.8,1.61,0.85,False,,True,ST-77,315.8,calibration,315.8,measured peak deviatoric stress from Appendix F
F1,single_stage,Sheet pile,ML,ST-85,10.0-10.5,single,103.4,27.6,330.3,1.53,0.83,False,,True,ST-85,330.3,calibration,330.3,measured peak deviatoric stress from Appendix F
F2,multistage,0.5:1 Slope,MH,ST-37A,2.0-2.5,1st,20.7,82.7,177.4,1.19,0.54,False,,True,ST-37,177.4,calibration,177.4,measured peak deviatoric stress from Appendix F
F2,multistage,0.5:1 Slope,MH,ST-37A,2.0-2.5,2nd,20.7,124.1,195.6,1.21,0.49,False,,True,ST-37,195.6,calibration,195.6,measured peak deviatoric stress from Appendix F
F2,multistage,0.5:1 Slope,MH,ST-37B,2.0-2.5,1st,20.7,93.1,177.2,1.08,0.65,False,,True,ST-37,177.2,calibration,177.2,measured peak deviatoric stress from Appendix F
F2,multistage,0.5:1 Slope,MH,ST-37B,2.0-2.5,2nd,20.7,124.1,197.2,1.09,0.6,False,,True,ST-37,197.2,calibration,197.2,measured peak deviatoric stress from Appendix F
F2,multistage,0.5:1 Slope,MH,ST-38A,2.5-3.0,1st,27.6,75.8,186.5,1.15,0.63,False,,True,ST-38,186.5,holdout,186.5,measured peak deviatoric stress from Appendix F
F2,multistage,0.5:1 Slope,MH,ST-38A,2.5-3.0,2nd,27.6,137.9,180.1,1.16,0.59,False,,True,ST-38,180.1,holdout,180.1,measured peak deviatoric stress from Appendix F
F2,multistage,0.5:1 Slope,MH,ST-38B,2.5-3.0,1st,27.6,20.7,103.4,1.08,0.91,False,,True,ST-38,103.4,holdout,103.4,measured peak deviatoric stress from Appendix F
F2,multistage,0.5:1 Slope,MH,ST-38B,2.5-3.0,2nd,27.6,89.6,195.1,1.09,0.65,False,,True,ST-38,195.1,holdout,195.1,measured peak deviatoric stress from Appendix F
F2,multistage,0.5:1 Slope,MH,ST-39A,4.9-5.5,1st,20.7,55.2,146.1,1.08,0.67,False,,True,ST-39,146.1,calibration,146.1,measured peak deviatoric stress from Appendix F
F2,multistage,0.5:1 Slope,MH,ST-39A,4.9-5.5,2nd,20.7,82.7,166.2,1.09,0.61,False,,True,ST-39,166.2,calibration,166.2,measured peak deviatoric stress from Appendix F
