axial_strain_pct,deviator_stress_kPa,q_smooth_kPa
0.04428044280442804,19.07730673316708,26.184538653366584
0.06642066420664205,22.069825436408976,27.86783042394015
0.08856088560885608,26.184538653366584,29.551122194513717
0.11070110701107011,29.551122194513717,31.4214463840399
0.1328413284132841,33.29177057356608,33.29177057356608
0.15498154981549817,37.406483790523694,37.406483790523694
0.17712177121771217,42.269326683291766,42.269326683291766
0.19926199261992622,49.00249376558604,49.00249376558604
0.22140221402214022,52.743142144638405,52.743142144638405
0.24354243542435422,54.61346633416459,54.61346633416459
0.2656826568265682,59.85037406483791,59.85037406483791
0.2878228782287823,64.71321695760598,64.71321695760598
0.30996309963099633,67.70573566084788,67.70573566084788
0.33210332103321033,70.32418952618454,70.32418952618454
0.35424354243542433,74.06483790523691,74.06483790523691
0.3763837638376384,77.0573566084788,77.0573566084788
0.39852398523985244,80.79800498753117,80.79800498753117
0.4206642066420664,84.53865336658353,84.53865336658353
0.44280442804428044,85.66084788029924,85.66084788029924
0.4649446494464945,89.77556109725685,89.77556109725685
0.48708487084870844,95.01246882793016,95.01246882793016
0.5092250922509225,99.12718204488779,99.12718204488779
0.5313653136531364,99.87531172069826,99.87531172069826
0.5535055350553506,103.61596009975064,103.61596009975064
0.5756457564575646,107.356608478803,107.356608478803
0.5977859778597786,109.97506234413964,109.97506234413964
0.6199261992619927,111.84538653366583,111.84538653366583
0.6420664206642066,113.71571072319202,113.71571072319202
0.6642066420664207,116.7082294264339,116.7082294264339
0.6863468634686347,120.44887780548628,120.44887780548628
0.7084870848708487,123.81546134663341,123.81546134663341
0.7306273062730627,124.93765586034912,124.93765586034912
0.7527675276752768,128.30423940149626,128.30423940149626
0.7749077490774907,132.7930174563591,132.7930174563591
0.7970479704797049,136.15960099750623,136.15960099750623
0.8191881918819188,138.40399002493766,138.40399002493766
0.8413284132841328,141.0224438902743,141.0224438902743
0.8634686346863468,144.0149625935162,144.0149625935162
0.8856088560885609,146.25935162094763,146.25935162094763
0.9077490774907749,147.75561097256858,147.75561097256858
0.929889298892989,148.8778054862843,148.8778054862843
0.9520295202952029,150.74812967581045,150.74812967581045
0.9741697416974169,154.1147132169576,154.1147132169576
0.996309963099631,157.85536159600997,157.85536159600997
1.018450184501845,158.9775561097257,158.9775561097257
1.0405904059040592,162.71820448877807,162.71820448877807
1.0627306273062729,166.45885286783044,166.45885286783044
1.084870848708487,169.07730673316706,169.07730673316706
1.1070110701107012,170.1995012468828,170.1995012468828
1.1291512915129152,170.94763092269326,170.94763092269326
1.151291512915129,173.1920199501247,173.1920199501247
