Depth (ft),#,D60 (mm),D30 (mm),D10 (mm),5μm (%),ρd (g/cm3),Gs,θs,a,n,m
5.2,70,0.035,0.006,0.001,27.7,1.26,2.7,0.51,29.8,0.74,0.67
13.2,72,0.039,0.014,0.002,16.2,1.73,2.71,0.61,54.6,0.9,0.85
