Depth (ft),#,D60 (mm),D30 (mm),D10 (mm),5μm (%),ρd (g/cm3),Gs,θs,a,n,m
4,36,0.015,0.005,0.0005,32.5,1.24,2.69,0.54,12.9,0.91,0.46
7,37,0.013,0.003,0.002,35.9,1.15,2.72,0.58,30.9,3.12,0.29
