pixel_x,pixel_y,axial_strain_global_pct,deviator_stress_kPa,q_smooth_kPa,axial_strain_local_pct,figure_id,specimen_id,stage_index,stage,matric_suction_kPa,source_q_peak_kPa
117,385.5,0.11516314779270634,39.00255754475703,47.31457800511509,0.0,F-43,ST-34B,1,1st,6.9,173.4
118,381.0,0.1343570057581574,44.75703324808184,49.87212276214834,0.01919385796545106,F-43,ST-34B,1,1st,6.9,173.4
119,377.0,0.15355086372360843,49.87212276214834,50.831202046035806,0.038387715930902094,F-43,ST-34B,1,1st,6.9,173.4
120,375.5,0.17274472168905952,51.790281329923275,51.790281329923275,0.05758157389635318,F-43,ST-34B,1,1st,6.9,173.4
121,372.0,0.19193857965451055,56.265984654731454,56.265984654731454,0.07677543186180422,F-43,ST-34B,1,1st,6.9,173.4
122,369.5,0.21113243761996162,59.46291560102302,59.46291560102302,0.09596928982725528,F-43,ST-34B,1,1st,6.9,173.4
123,367.5,0.23032629558541268,62.02046035805626,62.02046035805626,0.11516314779270634,F-43,ST-34B,1,1st,6.9,173.4
124,363.5,0.2495201535508637,67.13554987212277,67.13554987212277,0.13435700575815737,F-43,ST-34B,1,1st,6.9,173.4
125,360.5,0.2687140115163148,70.97186700767263,70.97186700767263,0.15355086372360846,F-43,ST-34B,1,1st,6.9,173.4
126,359.0,0.28790786948176583,72.89002557544758,72.89002557544758,0.1727447216890595,F-43,ST-34B,1,1st,6.9,173.4
127,356.0,0.30710172744721687,76.72634271099744,76.72634271099744,0.19193857965451053,F-43,ST-34B,1,1st,6.9,173.4
128,353.5,0.3262955854126679,79.923273657289,79.923273657289,0.21113243761996156,F-43,ST-34B,1,1st,6.9,173.4
129,348.5,0.34548944337811904,86.31713554987212,86.31713554987212,0.2303262955854127,F-43,ST-34B,1,1st,6.9,173.4
130,344.0,0.3646833013435701,92.07161125319693,92.07161125319693,0.24952015355086374,F-43,ST-34B,1,1st,6.9,173.4
131,340.5,0.3838771593090211,96.54731457800511,96.54731457800511,0.2687140115163148,F-43,ST-34B,1,1st,6.9,173.4
