pixel_x,pixel_y,axial_strain_global_pct,deviator_stress_kPa,q_smooth_kPa,axial_strain_local_pct,figure_id,specimen_id,stage_index,stage,matric_suction_kPa,source_q_peak_kPa
106,429.0,0.09022556390977443,9.70873786407767,10.618932038834952,0.0,F-46,ST-80A,1,1st,27.6,409.1
107,428.5,0.10526315789473684,10.315533980582526,10.922330097087379,0.015037593984962405,F-46,ST-80A,1,1st,27.6,409.1
108,428.0,0.12030075187969924,10.922330097087379,11.83252427184466,0.03007518796992481,F-46,ST-80A,1,1st,27.6,409.1
109,426.5,0.13533834586466165,12.742718446601941,12.742718446601941,0.045112781954887216,F-46,ST-80A,1,1st,27.6,409.1
110,424.5,0.15037593984962405,15.16990291262136,15.16990291262136,0.06015037593984962,F-46,ST-80A,1,1st,27.6,409.1
111,424.0,0.16541353383458646,15.776699029126213,15.776699029126213,0.07518796992481203,F-46,ST-80A,1,1st,27.6,409.1
112,421.5,0.18045112781954886,18.810679611650485,18.810679611650485,0.09022556390977443,F-46,ST-80A,1,1st,27.6,409.1
113,420.5,0.19548872180451127,20.024271844660195,20.024271844660195,0.10526315789473684,F-46,ST-80A,1,1st,27.6,409.1
114,420.0,0.21052631578947367,20.63106796116505,20.63106796116505,0.12030075187969924,F-46,ST-80A,1,1st,27.6,409.1
115,419.0,0.22556390977443608,21.844660194174757,21.844660194174757,0.13533834586466165,F-46,ST-80A,1,1st,27.6,409.1
116,415.5,0.24060150375939848,26.092233009708735,26.092233009708735,0.15037593984962405,F-46,ST-80A,1,1st,27.6,409.1
117,414.5,0.2556390977443609,27.305825242718445,27.305825242718445,0.16541353383458646,F-46,ST-80A,1,1st,27.6,409.1
118,411.5,0.2706766917293233,30.946601941747574,30.946601941747574,0.18045112781954886,F-46,ST-80A,1,1st,27.6,409.1
119,410.0,0.2857142857142857,32.76699029126213,32.76699029126213,0.19548872180451127,F-46,ST-80A,1,1st,27.6,409.1
120,409.5,0.3007518796992481,33.37378640776699,33.37378640776699,0.21052631578947367,F-46,ST-80A,1,1st,27.6,409.1
121,409.0,0.3157894736842105,33.980582524271846,33.980582524271846,0.22556390977443608,F-46,ST-80A,1,1st,27.6,409.1
122,408.0,0.3308270676691729,35.19417475728155,35.19417475728155,0.24060150375939848,F-46,ST-80A,1,1st,27.6,409.1
123,404.5,0.3458646616541353,39.44174757281554,39.44174757281554,0.2556390977443609,F-46,ST-80A,1,1st,27.6,409.1
124,403.5,0.3609022556390977,40.65533980582524,40.65533980582524,0.2706766917293233,F-46,ST-80A,1,1st,27.6,409.1
125,400.5,0.37593984962406013,44.29611650485437,44.29611650485437,0.2857142857142857,F-46,ST-80A,1,1st,27.6,409.1
126,399.0,0.39097744360902253,46.116504854368934,46.116504854368934,0.3007518796992481,F-46,ST-80A,1,1st,27.6,409.1
127,398.5,0.40601503759398494,46.72330097087379,46.72330097087379,0.3157894736842105,F-46,ST-80A,1,1st,27.6,409.1
128,397.5,0.42105263157894735,47.93689320388349,47.93689320388349,0.3308270676691729,F-46,ST-80A,1,1st,27.6,409.1
129,396.0,0.43609022556390975,49.75728155339806,49.75728155339806,0.3458646616541353,F-46,ST-80A,1,1st,27.6,409.1
130,393.5,0.45112781954887216,52.79126213592233,52.79126213592233,0.3609022556390977,F-46,ST-80A,1,1st,27.6,409.1
131,392.5,0.46616541353383456,54.00485436893204,54.00485436893204,0.37593984962406013,F-46,ST-80A,1,1st,27.6,409.1
132,389.0,0.48120300751879697,58.25242718446602,58.25242718446602,0.39097744360902253,F-46,ST-80A,1,1st,27.6,409.1
133,388.5,0.49624060150375937,58.859223300970875,58.859223300970875,0.40601503759398494,F-46,ST-80A,1,1st,27.6,409.1
134,386.5,0.5112781954887218,61.286407766990294,61.286407766990294,0.42105263157894735,F-46,ST-80A,1,1st,27.6,409.1
135,385.5,0.5263157894736842,62.5,62.5,0.43609022556390975,F-46,ST-80A,1,1st,27.6,409.1
136,384.5,0.5413533834586466,63.713592233009706,63.713592233009706,0.45112781954887216,F-46,ST-80A,1,1st,27.6,409.1
137,383.5,0.556390977443609,64.92718446601941,64.92718446601941,0.46616541353383456,F-46,ST-80A,1,1st,27.6,409.1
138,381.0,0.5714285714285714,67.96116504854369,67.96116504854369,0.48120300751879697,F-46,ST-80A,1,1st,27.6,409.1
139,380.5,0.5864661654135338,68.56796116504854,68.56796116504854,0.49624060150375937,F-46,ST-80A,1,1st,27.6,409.1
140,380.0,0.6015037593984962,69.1747572815534,69.1747572815534,0.5112781954887218,F-46,ST-80A,1,1st,27.6,409.1
141,379.0,0.6165413533834586,70.3883495145631,70.3883495145631,0.5263157894736842,F-46,ST-80A,1,1st,27.6,409.1
142,376.5,0.631578947368421,73.42233009708737,73.42233009708737,0.5413533834586466,F-46,ST-80A,1,1st,27.6,409.1
143,375.0,0.6466165413533834,75.24271844660194,75.24271844660194,0.556390977443609,F-46,ST-80A,1,1st,27.6,409.1
144,373.0,0.6616541353383458,77.66990291262135,77.66990291262135,0.5714285714285714,F-46,ST-80A,1,1st,27.6,409.1
145,372.0,0.6766917293233082,78.88349514563107,78.88349514563107,0.5864661654135338,F-46,ST-80A,1,1st,27.6,409.1
146,371.5,0.6917293233082706,79.49029126213593,79.49029126213593,0.6015037593984962,F-46,ST-80A,1,1st,27.6,409.1
147,371.0,0.706766917293233,80.09708737864078,80.09708737864078,0.6165413533834586,F-46,ST-80A,1,1st,27.6,409.1
148,370.0,0.7218045112781954,81.31067961165049,81.31067961165049,0.631578947368421,F-46,ST-80A,1,1st,27.6,409.1
149,367.5,0.7368421052631579,84.34466019417476,84.34466019417476,0.6466165413533834,F-46,ST-80A,1,1st,27.6,409.1
150,366.5,0.7518796992481203,85.55825242718447,85.55825242718447,0.6616541353383458,F-46,ST-80A,1,1st,27.6,409.1
151,364.0,0.7669172932330827,88.59223300970874,88.59223300970874,0.6766917293233082,F-46,ST-80A,1,1st,27.6,409.1
152,363.0,0.7819548872180451,89.80582524271844,89.80582524271844,0.6917293233082706,F-46,ST-80A,1,1st,27.6,409.1
153,362.5,0.7969924812030075,90.41262135922331,90.41262135922331,0.706766917293233,F-46,ST-80A,1,1st,27.6,409.1
154,360.5,0.8120300751879699,92.83980582524272,92.83980582524272,0.7218045112781954,F-46,ST-80A,1,1st,27.6,409.1
155,359.5,0.8270676691729323,94.05339805825243,94.05339805825243,0.7368421052631579,F-46,ST-80A,1,1st,27.6,409.1
156,358.5,0.8421052631578947,95.26699029126213,95.26699029126213,0.7518796992481203,F-46,ST-80A,1,1st,27.6,409.1
157,357.5,0.8571428571428571,96.48058252427184,96.48058252427184,0.7669172932330827,F-46,ST-80A,1,1st,27.6,409.1
158,355.0,0.8721804511278195,99.51456310679612,99.51456310679612,0.7819548872180451,F-46,ST-80A,1,1st,27.6,409.1
159,354.5,0.8872180451127819,100.12135922330097,100.12135922330097,0.7969924812030075,F-46,ST-80A,1,1st,27.6,409.1
160,354.0,0.9022556390977443,100.72815533980582,100.72815533980582,0.8120300751879699,F-46,ST-80A,1,1st,27.6,409.1
161,352.0,0.9172932330827067,103.15533980582524,103.15533980582524,0.8270676691729323,F-46,ST-80A,1,1st,27.6,409.1
162,351.0,0.9323308270676691,104.36893203883494,104.36893203883494,0.8421052631578947,F-46,ST-80A,1,1st,27.6,409.1
