pixel_x,pixel_y,axial_strain_global_pct,deviator_stress_kPa,q_smooth_kPa,axial_strain_local_pct,figure_id,specimen_id,stage_index,stage,matric_suction_kPa,source_q_peak_kPa
104,364.0,0.08839779005524862,66.70854271356784,77.44974874371859,0.0,F-30,ST-51,1,1st,44.8,159.3
105,356.5,0.10313075506445672,75.18844221105527,79.7110552763819,0.014732965009208107,F-30,ST-51,1,1st,44.8,159.3
106,352.5,0.11786372007366483,79.7110552763819,85.08165829145727,0.029465930018416214,F-30,ST-51,1,1st,44.8,159.3
107,343.0,0.13259668508287292,90.45226130653266,90.45226130653266,0.04419889502762431,F-30,ST-51,1,1st,44.8,159.3
108,336.5,0.14732965009208104,97.80150753768844,97.80150753768844,0.05893186003683243,F-30,ST-51,1,1st,44.8,159.3
109,328.0,0.16206261510128914,107.41206030150754,107.41206030150754,0.07366482504604052,F-30,ST-51,1,1st,44.8,159.3
110,323.5,0.17679558011049723,112.5,112.5,0.08839779005524862,F-30,ST-51,1,1st,44.8,159.3
111,320.0,0.19152854511970535,116.45728643216081,116.45728643216081,0.10313075506445674,F-30,ST-51,1,1st,44.8,159.3
112,313.0,0.20626151012891344,124.3718592964824,124.3718592964824,0.11786372007366483,F-30,ST-51,1,1st,44.8,159.3
113,307.0,0.22099447513812154,131.15577889447235,131.15577889447235,0.13259668508287292,F-30,ST-51,1,1st,44.8,159.3
114,305.0,0.23572744014732966,133.41708542713567,133.41708542713567,0.14732965009208104,F-30,ST-51,1,1st,44.8,159.3
115,302.5,0.2504604051565378,136.24371859296483,136.24371859296483,0.16206261510128916,F-30,ST-51,1,1st,44.8,159.3
116,296.5,0.26519337016574585,143.02763819095478,143.02763819095478,0.17679558011049723,F-30,ST-51,1,1st,44.8,159.3
117,292.5,0.27992633517495397,147.5502512562814,147.5502512562814,0.19152854511970535,F-30,ST-51,1,1st,44.8,159.3
118,290.5,0.2946593001841621,149.81155778894473,149.81155778894473,0.20626151012891347,F-30,ST-51,1,1st,44.8,159.3
119,288.5,0.30939226519337015,152.07286432160802,152.07286432160802,0.22099447513812154,F-30,ST-51,1,1st,44.8,159.3
120,286.0,0.3241252302025783,154.89949748743717,154.89949748743717,0.23572744014732966,F-30,ST-51,1,1st,44.8,159.3
121,285.0,0.3388581952117864,156.03015075376885,156.03015075376885,0.2504604051565378,F-30,ST-51,1,1st,44.8,159.3
122,283.5,0.35359116022099446,157.72613065326632,157.72613065326632,0.26519337016574585,F-30,ST-51,1,1st,44.8,159.3
123,280.0,0.3683241252302026,161.68341708542712,161.68341708542712,0.27992633517495397,F-30,ST-51,1,1st,44.8,159.3
124,279.0,0.3830570902394107,162.8140703517588,162.8140703517588,0.2946593001841621,F-30,ST-51,1,1st,44.8,159.3
125,276.5,0.39779005524861877,165.64070351758795,165.64070351758795,0.30939226519337015,F-30,ST-51,1,1st,44.8,159.3
126,274.0,0.4125230202578269,168.4673366834171,168.4673366834171,0.3241252302025783,F-30,ST-51,1,1st,44.8,159.3
