pdf_page,color,stroke_width,n_segments,n_paths,total_length,median_segment_length,x_min,x_max,y_min,y_max,bbox_width,bbox_height
44,"(0.855, 0.863, 0.867)",0.5174,28,28,0.0,0.0,72.25885009765625,392.7150573730469,65.06170654296875,252.25462341308594,320.4562072753906,187.1929168701172
44,"(0.0, 0.0, 0.0)",0.5174,28,28,1916.8288116455078,68.45817184448242,118.92035675048828,257.3897705078125,75.95527648925781,240.32696533203125,138.46941375732422,164.37168884277344
44,'None',,8,2,797.7419128417987,41.219947814941406,118.66151428222656,717.3259887695312,229.19207763671875,249.60186767578125,598.6644744873047,20.4097900390625
44,"(0.855, 0.863, 0.867)",0.512,28,28,0.0,0.0,401.156005859375,717.58544921875,65.05557250976562,249.8578338623047,316.429443359375,184.80226135253906
44,"(0.0, 0.0, 0.0)",0.512,28,28,1888.34912109375,67.4410400390625,447.30572509765625,583.723876953125,75.84005737304688,238.0496826171875,136.41815185546875,162.20962524414062
45,"(0.855, 0.863, 0.867)",0.5178,56,56,0.0,0.0,72.25926971435547,721.6639404296875,65.05735778808594,252.2646484375,649.404670715332,187.20729064941406
45,"(0.0, 0.0, 0.0)",0.5178,56,56,3847.3999176025413,68.30462646484375,118.99758911132812,586.0784301757812,65.57449340820312,240.33609008789062,467.0808410644531,174.7615966796875
45,'None',,8,2,755.2948608398461,28.565269470214844,401.4186096191406,721.4011840820312,240.0588836669922,251.98609924316406,319.9825744628906,11.927215576171875
46,"(0.855, 0.863, 0.867)",0.5187,28,28,0.0,0.0,72.25968933105469,392.7247314453125,65.06240844726562,252.5592041015625,320.4650421142578,187.49679565429688
46,"(0.0, 0.0, 0.0)",0.5187,28,28,1915.5324401855469,68.41187286376953,119.07374572753906,257.4556579589844,75.9739990234375,240.6114501953125,138.3819122314453,164.637451171875
46,"(0.855, 0.863, 0.867)",0.5178,14,14,0.0,0.0,401.1593017578125,721.6639404296875,65.06596374511719,252.23878479003906,320.504638671875,187.17282104492188
46,"(0.0, 0.0, 0.0)",0.5178,28,28,1912.669677734375,68.30963134765625,447.90338134765625,586.0784301757812,75.95870971679688,240.31167602539062,138.175048828125,164.35296630859375
46,'None',,8,2,806.187698364261,41.29711151123118,401.4186096191406,721.4011840820312,206.87506103515625,251.98025512695312,319.9825744628906,45.105194091796875
47,"(0.855, 0.863, 0.867)",0.5174,28,28,0.0,0.0,72.25882720947266,391.65826416015625,65.05892944335938,252.24462890625,319.3994369506836,187.18569946289062
47,"(0.0, 0.0, 0.0)",0.5174,27,27,1943.900634765625,80.8963851928711,118.9172134399414,256.8389892578125,65.57600402832031,240.31744384765625,137.9217758178711,174.74143981933594
47,'None',,12,3,1122.7092742919972,28.513832092285156,72.51766204833984,446.8659362792969,65.31159973144531,251.98609924316406,374.34827423095703,186.67449951171875
47,"(0.855, 0.863, 0.867)",0.5097,28,28,0.0,0.0,401.15496826171875,716.3243408203125,65.05430603027344,249.46070861816406,315.16937255859375,184.40640258789062
47,"(0.0, 0.0, 0.0)",0.5097,28,28,1880.8297119140639,67.17250061035156,447.1209411621094,582.995849609375,75.78572082519531,237.71060180664062,135.87490844726562,161.9248809814453
