group,n_stages,n_specimens,n_tubes,median_lambda_incremental,median_incremental_nrmse,median_y25,mean_y25,median_y50,mean_y50,median_y75,mean_y75,median_mean_y_10_90,mean_mean_y_10_90,median_mobilization_excess,mean_mobilization_excess
single_stage,20,20,19,1.8849720402542816,0.03711827799144085,0.49544070465698287,0.4975582418205443,0.7451361867704278,0.7645332707812492,0.9215062261350375,0.9250435788278718,0.6974650109797645,0.715918346699312,0.19746501097976454,0.21591834669931198
multistage_stage1,25,25,18,0.7391334684085601,0.0336168051727926,0.3403571007206295,0.35841362707112223,0.653276955602537,0.6502808734682688,0.8567392924847174,0.8659304709819641,0.6074317492416582,0.6157992393159694,0.10743174924165821,0.11579923931596937
multistage_later,39,25,18,2.1984853162895317,0.0549507359025068,0.4786015349306508,0.5093655935550004,0.8259638182461676,0.8083655627826288,0.9583573067122971,0.9470792969932197,0.7388049557085601,0.7384165543148191,0.23880495570856008,0.23841655431481898
