model,subset,n_stages,n_tubes,q_MdAPE_pct,eps_peak_MdAPE_pct,lambda_scaled_MdAE_pct,curve_nrmse_median,curve_nrmse_mean,curve_nrmse_p90
Mechanical,all,84,36,14.136677764745237,33.506807808746544,38.87570304118803,0.1720208988756336,0.19103446542764468,0.32345715653633844
Mechanical,high_tick_only,16,16,13.504138776393903,46.69762884810984,34.330516438434124,0.16708790061999124,0.17757292615271025,0.28914580953876645
Suction,all,84,36,9.75857089743043,34.76154278703741,41.16159545847986,0.1394503471225968,0.15824777178990207,0.2856047655604111
Suction,high_tick_only,16,16,11.300707522571987,48.88672818260421,30.66033624473059,0.15059985776591042,0.1622627254153492,0.28304223861039013
State,all,84,36,11.794358469200755,33.897171471099185,41.34280817928231,0.13674608482352585,0.14620938787292767,0.2406450018618942
State,high_tick_only,16,16,12.266451978606874,40.13515586950972,28.01693585187637,0.11550078109101286,0.1393661406181882,0.2324639101272816
StateInteraction,all,84,36,9.9484514884393,31.911942373235924,41.47292135702397,0.1329377556526889,0.13975990147288356,0.24269006811932586
StateInteraction,high_tick_only,16,16,12.652520669989606,42.953498730299934,28.0222314035096,0.12242240162320688,0.13937975329199498,0.24074480360723444
StateHistory,all,84,36,10.854544067625977,26.76907502913959,41.60743427982314,0.1334149657961523,0.1394061432418721,0.24172377041629317
StateHistory,high_tick_only,16,16,14.4747675535309,30.66736907811698,28.05308526101409,0.1687323368671534,0.1634524276734179,0.2582237033854301
