figure_id,specimen_id,stage,stage_index,scale_factor,lambda_incremental
F-22,ST-37A,1st,1,1.0,2.7741160208007
F-22,ST-37A,1st,1,1.25,2.7741160168155607
F-22,ST-37A,1st,1,1.5,2.774116017921383
F-22,ST-37A,1st,1,2.0,2.7741160208007
F-22,ST-37A,2nd,2,0.5,3.1498817155298506
F-22,ST-37A,2nd,2,0.75,3.1498816584877805
F-22,ST-37A,2nd,2,1.0,3.1498817155298506
F-22,ST-37A,2nd,2,1.25,3.149881610067253
F-22,ST-37A,2nd,2,1.5,3.1498816584877805
F-22,ST-37A,2nd,2,2.0,3.1498817155298506
F-23,ST-37B,1st,1,0.5,0.00704884836495101
F-23,ST-37B,1st,1,0.75,0.007048848289773705
F-23,ST-37B,1st,1,1.0,0.00704884836495101
F-23,ST-37B,1st,1,1.25,0.0070488469183130975
F-23,ST-37B,1st,1,1.5,0.007048848289773705
F-23,ST-37B,1st,1,2.0,0.00704884836495101
F-23,ST-37B,2nd,2,0.5,16.412618174880706
F-23,ST-37B,2nd,2,0.75,16.412618176630822
F-23,ST-37B,2nd,2,1.0,16.412618174880706
F-23,ST-37B,2nd,2,1.25,16.412618241181644
F-23,ST-37B,2nd,2,1.5,16.412618176630822
F-23,ST-37B,2nd,2,2.0,16.412618174880706
F-24,ST-38A,1st,1,0.5,0.8539126856048425
F-24,ST-38A,1st,1,0.75,0.8539126882582099
F-24,ST-38A,1st,1,1.0,0.8539126856048425
F-24,ST-38A,1st,1,1.25,0.8539126860723326
F-24,ST-38A,1st,1,1.5,0.8539126882582099
F-24,ST-38A,1st,1,2.0,0.8539126856048425
F-24,ST-38A,2nd,2,0.5,0.3884769958197142
F-24,ST-38A,2nd,2,0.75,0.38847699651765755
F-24,ST-38A,2nd,2,1.0,0.3884769958197142
F-24,ST-38A,2nd,2,1.25,0.38847699467945745
F-24,ST-38A,2nd,2,1.5,0.38847699651765755
F-24,ST-38A,2nd,2,2.0,0.3884769958197142
F-25,ST-38B,1st,1,0.5,1.2559642374726694
F-25,ST-38B,1st,1,0.75,1.25596421754572
F-25,ST-38B,1st,1,1.0,1.2559642374726694
F-25,ST-38B,1st,1,1.25,1.2559642191556057
F-25,ST-38B,1st,1,1.5,1.25596421754572
F-25,ST-38B,1st,1,2.0,1.2559642374726694
F-25,ST-38B,2nd,2,0.5,7.742067645247955
F-25,ST-38B,2nd,2,0.75,7.742067772290967
F-25,ST-38B,2nd,2,1.0,7.742067645247955
F-25,ST-38B,2nd,2,1.25,7.742067713225499
F-25,ST-38B,2nd,2,1.5,7.742067772290967
F-25,ST-38B,2nd,2,2.0,7.742067645247955
F-26,ST-39A,1st,1,0.5,1.1659456576299718
F-26,ST-39A,1st,1,0.75,1.1659456370059058
F-26,ST-39A,1st,1,1.0,1.1659456576299718
F-26,ST-39A,1st,1,1.25,1.1659456495518772
F-26,ST-39A,1st,1,1.5,1.1659456370059058
F-26,ST-39A,1st,1,2.0,1.1659456576299718
F-26,ST-39A,2nd,2,0.5,3.54274734711765
F-26,ST-39A,2nd,2,0.75,3.5427472976532184
F-26,ST-39A,2nd,2,1.0,3.54274734711765
F-26,ST-39A,2nd,2,1.25,3.5427474034325823
F-26,ST-39A,2nd,2,1.5,3.5427472976532184
F-26,ST-39A,2nd,2,2.0,3.54274734711765
F-27,ST-39B,1st,1,0.5,0.804702315963379
F-27,ST-39B,1st,1,0.75,0.8047023197975479
F-27,ST-39B,1st,1,1.0,0.804702315963379
F-27,ST-39B,1st,1,1.25,0.8047023176376409
F-27,ST-39B,1st,1,1.5,0.8047023197975479
F-27,ST-39B,1st,1,2.0,0.804702315963379
F-27,ST-39B,2nd,2,0.5,5.778956101924747
F-27,ST-39B,2nd,2,0.75,5.778956094333712
F-27,ST-39B,2nd,2,1.0,5.778956101924747
F-27,ST-39B,2nd,2,1.25,5.778956100221387
F-27,ST-39B,2nd,2,1.5,5.778956094333712
F-27,ST-39B,2nd,2,2.0,5.778956101924747
F-28,ST-49A,1st,1,0.5,0.8145765722033977
F-28,ST-49A,1st,1,0.75,0.8145765709610934
F-28,ST-49A,1st,1,1.0,0.8145765722033977
F-28,ST-49A,1st,1,1.25,0.8145765713007247
F-28,ST-49A,1st,1,1.5,0.8145765709610934
F-28,ST-49A,1st,1,2.0,0.8145765722033977
F-28,ST-49A,2nd,2,0.5,2.1984853162895317
F-28,ST-49A,2nd,2,0.75,2.1984853222052596
F-28,ST-49A,2nd,2,1.0,2.1984853162895317
F-28,ST-49A,2nd,2,1.25,2.198485311565327
F-28,ST-49A,2nd,2,1.5,2.1984853222052596
F-28,ST-49A,2nd,2,2.0,2.1984853162895317
F-29,ST-49B,1st,1,0.5,0.28698491749311245
F-29,ST-49B,1st,1,0.75,0.28698491761268513
F-29,ST-49B,1st,1,1.0,0.28698491749311245
F-29,ST-49B,1st,1,1.25,0.28698491762178424
F-29,ST-49B,1st,1,1.5,0.28698491761268513
F-29,ST-49B,1st,1,2.0,0.28698491749311245
F-29,ST-49B,2nd,2,0.5,1.7489899414733308
F-29,ST-49B,2nd,2,0.75,1.7489899424725788
F-29,ST-49B,2nd,2,1.0,1.7489899414733308
F-29,ST-49B,2nd,2,1.25,1.7489899435241765
F-29,ST-49B,2nd,2,1.5,1.7489899424725788
F-29,ST-49B,2nd,2,2.0,1.7489899414733308
F-29,ST-49B,3rd,3,0.5,2.267710960928669
F-29,ST-49B,3rd,3,0.75,2.2677109582226094
F-29,ST-49B,3rd,3,1.0,2.267710960928669
F-29,ST-49B,3rd,3,1.25,2.2677109715237203
F-29,ST-49B,3rd,3,1.5,2.2677109582226094
F-29,ST-49B,3rd,3,2.0,2.267710960928669
F-30,ST-51,1st,1,0.5,1.8572213777652968
F-30,ST-51,1st,1,0.75,1.8572213985201378
F-30,ST-51,1st,1,1.0,1.8572213777652968
F-30,ST-51,1st,1,1.25,1.8572213961506843
F-30,ST-51,1st,1,1.5,1.8572213985201378
F-30,ST-51,1st,1,2.0,1.8572213777652968
F-30,ST-51,2nd,2,0.5,9.307089453081057
F-30,ST-51,2nd,2,0.75,9.307089463606715
F-30,ST-51,2nd,2,1.0,9.307089453081057
F-30,ST-51,2nd,2,1.25,9.30708946724819
F-30,ST-51,2nd,2,1.5,9.307089463606715
F-30,ST-51,2nd,2,2.0,9.307089453081057
F-31,ST-52,1st,1,0.5,0.34406655141942066
F-31,ST-52,1st,1,0.75,0.34406655193462776
F-31,ST-52,1st,1,1.0,0.34406655141942066
F-31,ST-52,1st,1,1.25,0.3440665517706536
F-31,ST-52,1st,1,1.5,0.34406655193462776
F-31,ST-52,1st,1,2.0,0.34406655141942066
F-31,ST-52,2nd,2,0.5,2.3808608062477505
F-31,ST-52,2nd,2,0.75,2.3808608017821835
F-31,ST-52,2nd,2,1.0,2.3808608062477505
F-31,ST-52,2nd,2,1.25,2.380860804180053
F-31,ST-52,2nd,2,1.5,2.3808608017821835
F-31,ST-52,2nd,2,2.0,2.3808608062477505
F-32,ST-57,1st,1,0.5,0.4063616006583638
F-32,ST-57,1st,1,0.75,0.406361600212892
F-32,ST-57,1st,1,1.0,0.4063616006583638
F-32,ST-57,1st,1,1.25,0.406361601014891
F-32,ST-57,1st,1,1.5,0.406361600212892
F-32,ST-57,1st,1,2.0,0.4063616006583638
F-32,ST-57,2nd,2,0.5,0.9209772452151316
F-32,ST-57,2nd,2,0.75,0.9209772493226654
F-32,ST-57,2nd,2,1.0,0.9209772452151316
F-32,ST-57,2nd,2,1.25,0.9209772445780935
F-32,ST-57,2nd,2,1.5,0.9209772493226654
F-32,ST-57,2nd,2,2.0,0.9209772452151316
F-32,ST-57,3rd,3,0.5,0.20006070646266533
F-32,ST-57,3rd,3,0.75,0.20006070621536376
F-32,ST-57,3rd,3,1.0,0.20006070646266533
F-32,ST-57,3rd,3,1.25,0.2000607052037131
F-32,ST-57,3rd,3,1.5,0.20006070621536376
F-32,ST-57,3rd,3,2.0,0.20006070646266533
F-33,ST-59A,1st,1,0.5,0.3259630184490927
F-33,ST-59A,1st,1,0.75,0.32596301839283365
F-33,ST-59A,1st,1,1.0,0.3259630184490927
F-33,ST-59A,1st,1,1.25,0.32596301714290765
F-33,ST-59A,1st,1,1.5,0.32596301839283365
F-33,ST-59A,1st,1,2.0,0.3259630184490927
F-33,ST-59A,2nd,2,0.5,3.5082118506941513
F-33,ST-59A,2nd,2,0.75,3.5082119224618715
F-33,ST-59A,2nd,2,1.0,3.5082118506941513
F-33,ST-59A,2nd,2,1.25,3.5082119047089746
F-33,ST-59A,2nd,2,1.5,3.5082119224618715
F-33,ST-59A,2nd,2,2.0,3.5082118506941513
F-35,ST-62,1st,1,0.5,1.277211164963599
F-35,ST-62,1st,1,0.75,1.2772111620962365
F-35,ST-62,1st,1,1.0,1.277211164963599
F-35,ST-62,1st,1,1.25,1.2772111779492645
F-35,ST-62,1st,1,1.5,1.2772111620962365
F-35,ST-62,1st,1,2.0,1.277211164963599
F-35,ST-62,2nd,2,0.5,2.093446061646205
F-35,ST-62,2nd,2,0.75,2.0934460513393036
F-35,ST-62,2nd,2,1.0,2.093446061646205
F-35,ST-62,2nd,2,1.25,2.093446091539749
F-35,ST-62,2nd,2,1.5,2.0934460513393036
F-35,ST-62,2nd,2,2.0,2.093446061646205
F-36,ST-64,1st,1,0.5,1.1100843005569578
F-36,ST-64,1st,1,0.75,1.1100843094305064
F-36,ST-64,1st,1,1.0,1.1100843005569578
F-36,ST-64,1st,1,1.25,1.1100843090821366
F-36,ST-64,1st,1,1.5,1.1100843094305064
F-36,ST-64,1st,1,2.0,1.1100843005569578
F-36,ST-64,2nd,2,0.5,1.1532933196660837
F-36,ST-64,2nd,2,0.75,1.1532933614038916
F-36,ST-64,2nd,2,1.0,1.1532933196660837
F-36,ST-64,2nd,2,1.25,1.1532933337044167
F-36,ST-64,2nd,2,1.5,1.1532933614038916
F-36,ST-64,2nd,2,2.0,1.1532933196660837
F-37,ST-81,1st,1,0.5,1.3417442176420071
F-37,ST-81,1st,1,0.75,1.3417441750750152
F-37,ST-81,1st,1,1.0,1.3417442176420071
F-37,ST-81,1st,1,1.25,1.341744174234297
F-37,ST-81,1st,1,1.5,1.3417441750750152
F-37,ST-81,1st,1,2.0,1.3417442176420071
F-37,ST-81,2nd,2,0.5,2.147914639112247
F-37,ST-81,2nd,2,0.75,2.1479146555288806
F-37,ST-81,2nd,2,1.0,2.147914639112247
F-37,ST-81,2nd,2,1.25,2.147914648027544
F-37,ST-81,2nd,2,1.5,2.1479146555288806
F-37,ST-81,2nd,2,2.0,2.147914639112247
F-37,ST-81,3rd,3,0.5,1.5803835465067384
F-37,ST-81,3rd,3,0.75,1.5803835561259683
F-37,ST-81,3rd,3,1.0,1.5803835465067384
F-37,ST-81,3rd,3,1.25,1.5803835309509005
F-37,ST-81,3rd,3,1.5,1.5803835561259683
F-37,ST-81,3rd,3,2.0,1.5803835465067384
F-37,ST-81,4th,4,0.5,2.655236230185773
F-37,ST-81,4th,4,0.75,2.655236237399719
F-37,ST-81,4th,4,1.0,2.655236230185773
F-37,ST-81,4th,4,1.25,2.655236230498676
F-37,ST-81,4th,4,1.5,2.655236237399719
F-37,ST-81,4th,4,2.0,2.655236230185773
F-38,ST-30,1st,1,0.5,0.7391334684085601
F-38,ST-30,1st,1,0.75,0.7391334688243053
F-38,ST-30,1st,1,1.0,0.7391334684085601
F-38,ST-30,1st,1,1.25,0.7391334688091898
F-38,ST-30,1st,1,1.5,0.7391334688243053
F-38,ST-30,1st,1,2.0,0.7391334684085601
F-38,ST-30,2nd,2,0.5,2.059026220047052
F-38,ST-30,2nd,2,0.75,2.0590262140899522
F-38,ST-30,2nd,2,1.0,2.059026220047052
F-38,ST-30,2nd,2,1.25,2.0590262178693957
F-38,ST-30,2nd,2,1.5,2.0590262140899522
F-38,ST-30,2nd,2,2.0,2.059026220047052
F-38,ST-30,3rd,3,0.5,5.707508693840937
F-38,ST-30,3rd,3,0.75,5.707508691773414
F-38,ST-30,3rd,3,1.0,5.707508693840937
F-38,ST-30,3rd,3,1.25,5.707508685592222
F-38,ST-30,3rd,3,1.5,5.707508691773414
F-38,ST-30,3rd,3,2.0,5.707508693840937
F-39,ST-83,1st,1,0.5,1.6545473673716278
F-39,ST-83,1st,1,0.75,1.654547365752804
F-39,ST-83,1st,1,1.0,1.6545473673716278
F-39,ST-83,1st,1,1.25,1.6545473705264722
F-39,ST-83,1st,1,1.5,1.654547365752804
F-39,ST-83,1st,1,2.0,1.6545473673716278
F-39,ST-83,2nd,2,0.5,6.986752775654692
F-39,ST-83,2nd,2,0.75,6.986752796945708
F-39,ST-83,2nd,2,1.0,6.986752775654692
F-39,ST-83,2nd,2,1.25,6.986752776367954
F-39,ST-83,2nd,2,1.5,6.986752796945708
