pdf_page,path_index,n_items,n_line,n_rect,n_bezier,x0,y0,x1,y1,bbox_width,bbox_height,stroke_width,color,fill
44,0,1,1,0,0,72.25885009765625,65.06170654296875,72.25885009765625,65.06170654296875,0.0,0.0,0.5173971652984619,"(0.8550000190734863, 0.8629999756813049, 0.8669999837875366)",None
44,1,1,1,0,0,118.40266418457031,65.06170654296875,118.40266418457031,65.06170654296875,0.0,0.0,0.5173971652984619,"(0.8550000190734863, 0.8629999756813049, 0.8669999837875366)",None
44,2,1,1,0,0,200.85755920410156,65.06170654296875,200.85755920410156,65.06170654296875,0.0,0.0,0.5173971652984619,"(0.8550000190734863, 0.8629999756813049, 0.8669999837875366)",None
44,3,1,1,0,0,258.4251708984375,65.06170654296875,258.4251708984375,65.06170654296875,0.0,0.0,0.5173971652984619,"(0.8550000190734863, 0.8629999756813049, 0.8669999837875366)",None
44,4,1,0,1,0,72.51769256591797,64.28952026367188,392.4527587890625,65.32371520996094,319.93506622314453,1.0341949462890625,,None,"(0.0, 0.0, 0.0)"
44,5,1,1,0,0,392.1973571777344,65.06170654296875,392.1973571777344,65.06170654296875,0.0,0.0,0.5173971652984619,"(0.8550000190734863, 0.8629999756813049, 0.8669999837875366)",None
44,6,1,1,0,0,118.92035675048828,75.95527648925781,199.82217407226562,75.95527648925781,80.90181732177734,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,7,1,0,1,0,118.66151428222656,75.70018005371094,200.0775604248047,76.21728515625,81.41604614257812,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,8,1,1,0,0,201.375244140625,75.95527648925781,257.3897705078125,75.95527648925781,56.0145263671875,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,9,1,0,1,0,201.1129608154297,75.70018005371094,257.6451721191406,76.21728515625,56.53221130371094,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,10,1,1,0,0,118.92035675048828,86.84886169433594,199.82217407226562,86.84886169433594,80.90181732177734,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,11,1,0,1,0,118.66151428222656,86.59376525878906,200.0775604248047,87.11087036132812,81.41604614257812,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,12,1,1,0,0,201.375244140625,86.84886169433594,257.3897705078125,86.84886169433594,56.0145263671875,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,13,1,0,1,0,201.1129608154297,86.59376525878906,257.6451721191406,87.11087036132812,56.53221130371094,0.5171051025390625,,None,"(0.0, 0.0, 0.0)"
44,14,1,0,1,0,72.51769256591797,97.46665954589844,258.6805725097656,98.5008544921875,186.16287994384766,1.0341949462890625,,None,"(0.0, 0.0, 0.0)"
44,15,1,1,0,0,118.92035675048828,109.13932800292969,199.82217407226562,109.13932800292969,80.90181732177734,0.0,0.5173971652984619,"(0.0, 0.0, 0.0)",None
44,16,1,0,1,0,118.66151428222656,108.87733459472656,200.0775604248047,109.39442443847656,81.41604614257812,0.51708984375,,None,"(0.0, 0.0, 0.0)"
