pdf_page,side,figure_number,figure_id,specimen_id,xref,pixel_width,pixel_height,page_fraction,source_rows,source_stages,source_suctions_kPa,source_q_peaks_kPa,image_path,image_ext
59,right,33,F-33,ST-59A,303,660,495,0.1553186493923529,2,1st;2nd,20.7;137.9,136.5;252.4,results/figures/stress_strain_raw/F_33_ST_59A.png,png
60,left,34,F-34,ST-59C,310,660,495,0.1553186344327554,2,1st;2nd,10.3;103.4,89.5;206.2,results/figures/stress_strain_raw/F_34_ST_59C.png,png
60,right,35,F-35,ST-62,311,660,495,0.1553186493923529,2,1st;2nd,41.4;69.0,174.4;218.6,results/figures/stress_strain_raw/F_35_ST_62.png,png
61,left,36,F-36,ST-64,318,660,495,0.1553186344327554,2,1st;2nd,34.5;69.0,237.9;257.9,results/figures/stress_strain_raw/F_36_ST_64.png,png
61,right,37,F-37,ST-81,319,660,495,0.1553186493923529,4,1st;2nd;3rd;4th,96.5;117.2;117.2;117.2,150.1;163.6;199.6;236.9,results/figures/stress_strain_raw/F_37_ST_81.png,png
62,left,38,F-38,ST-30,326,660,495,0.1553186344327554,3,1st;2nd;3rd,6.9;48.3;48.3,133.6;196.2;311.9,results/figures/stress_strain_raw/F_38_ST_30.png,png
62,right,39,F-39,ST-83,327,660,495,0.1553186493923529,3,1st;2nd;3rd,75.8;103.4;124.1,161.7;190.9;217.4,results/figures/stress_strain_raw/F_39_ST_83.png,png
63,left,40,F-40,ST-74,334,660,495,0.1553186344327554,2,1st;2nd,55.2;82.7,272.0;321.7,results/figures/stress_strain_raw/F_40_ST_74.png,png
63,right,41,F-41,ST-87,335,660,495,0.1553186493923529,3,1st;2nd;3rd,20.7;55.2;75.8,318.0;388.2;443.3,results/figures/stress_strain_raw/F_41_ST_87.png,png
64,left,42,F-42,ST-34A,342,675,495,0.158848037312367,3,1st;2nd;3rd,6.9;27.6;55.2,253.3;316.1;351.2,results/figures/stress_strain_raw/F_42_ST_34A.png,png
64,right,43,F-43,ST-34B,343,660,495,0.1553186493923529,3,1st;2nd;3rd,6.9;6.9;27.6,173.4;254.0;288.9,results/figures/stress_strain_raw/F_43_ST_34B.png,png
65,left,44,F-44,ST-79A,350,662,502,0.1580135444685941,3,1st;2nd;3rd,27.6;56.2;82.7,319.5;357.2;383.5,results/figures/stress_strain_raw/F_44_ST_79A.png,png
65,right,45,F-45,ST-79B,351,658,500,0.1563923730546116,3,1st;2nd;3rd,13.8;41.4;89.6,288.6;374.9;469.1,results/figures/stress_strain_raw/F_45_ST_79B.png,png
66,left,46,F-46,ST-80A,358,660,495,0.1484049446332365,3,1st;2nd;3rd,27.6;69.0;96.5,409.1;500.6;550.9,results/figures/stress_strain_raw/F_46_ST_80A.png,png
66,right,47,F-47,ST-80B,359,660,495,0.1448453480666433,4,1st;2nd;3rd;4th,6.9;6.9;55.2;55.2,234.3;297.9;389.9;468.8,results/figures/stress_strain_raw/F_47_ST_80B.png,png
