subset,metric,n_stages,spearman_rho,pvalue
all,y25,84,0.9806418953123417,7.628047121451491e-60
all,y50,84,0.9654348486382507,1.1873856667838788e-49
all,y75,84,0.822861192669839,7.901508628462416e-22
all,mean_y_10_90,84,0.9955047079072593,1.0253133017251952e-85
multistage_only,y25,64,0.9775641025641023,1.1825726998212903e-43
multistage_only,y50,64,0.9763736263736262,5.771582842225755e-43
multistage_only,y75,64,0.8634157509157508,4.390432467667299e-20
multistage_only,mean_y_10_90,64,0.9955128205128204,3.301808196295414e-65
