group,n_stages,n_specimens,n_tubes,median_eps_peak_pct,median_lambda,mean_eps_log_residual,mean_lambda_log_residual,median_lambda_log_residual,mean_joint_abs_shape_error,n_high_tick
single_stage,20,20,19,6.611906290341923,3.114049193216678,0.4924466134509108,0.2493275408186258,0.1806781619707365,0.4595474861627323,16
multistage_stage1,25,25,18,2.590909090909091,1.2496247645913257,-0.17401632892171012,-0.31966234116139974,-0.4409623987198822,0.43292315123205993,0
multistage_later,39,25,18,2.333333333333333,2.8101903466204847,-0.18059351954899666,0.05742649180300082,-0.0482823014462912,0.4252579438702702,0
