specimen_id,tube_id,stage_index,protocol_group,lambda_incremental,mean_y_10_90,incremental_prepeak_nrmse,table,lambda_stage1,lambda_stage2,n_specimens,delta_lambda
ST-36,ST-36,1.0,single_stage,2.8408262496091967,0.7598036243368015,0.0446011874645344,scatter,,,,
ST-91,ST-91,1.0,single_stage,1.4620657653044618,0.6772050929197507,0.0230829738064336,scatter,,,,
ST-40,ST-40,1.0,single_stage,5.296167909213671,0.8201178189484357,0.0373706273020181,scatter,,,,
ST-42,ST-42,1.0,single_stage,1.9837689041019724,0.701150397563864,0.0226193271900948,scatter,,,,
ST-43,ST-43,1.0,single_stage,1.2888107582429202,0.6693905970248226,0.0393458786425573,scatter,,,,
ST-94,ST-94,1.0,single_stage,2.3750400873761204,0.7346993833504625,0.0427023892228912,scatter,,,,
ST-47,ST-47,1.0,single_stage,2.946139041541316,0.7512554211615996,0.0263117733522926,scatter,,,,
ST-124,ST-124,1.0,single_stage,2.5164633048204212,0.7332974232438199,0.0234544774910558,scatter,,,,
ST-50,ST-50,1.0,single_stage,9.609961522764236,0.8860310827307729,0.0651502411304601,scatter,,,,
ST-53,ST-53,1.0,single_stage,1.527357964413206,0.6805272252700775,0.0217702450421044,scatter,,,,
ST-54,ST-54,1.0,single_stage,1.3351724205039903,0.6697982538380406,0.0368659286808636,scatter,,,,
ST-59B,ST-59,1.0,single_stage,1.2102513560943458,0.661222088648456,0.035691513057296,scatter,,,,
ST-60,ST-60,1.0,single_stage,3.602955945120064,0.7904773375085311,0.0480966244993802,scatter,,,,
ST-114B,ST-114,1.0,single_stage,3.2304312773692265,0.7691060295869623,0.0421141370323056,scatter,,,,
ST-116E,ST-116,1.0,single_stage,1.786175176406591,0.6937796243956651,0.0184440535914977,scatter,,,,
ST-65A,ST-65,1.0,single_stage,0.524087325857958,0.5914775770699183,0.036512344902946,scatter,,,,
ST-65B,ST-65,1.0,single_stage,0.7909953642518336,0.6179411108268327,0.0362314486286178,scatter,,,,
ST-75,ST-75,1.0,single_stage,1.2788704706820515,0.671394942157654,0.0543105617092399,scatter,,,,
ST-77,ST-77,1.0,single_stage,4.656674366460172,0.8137094715960979,0.0386761196212296,scatter,,,,
ST-85,ST-85,1.0,single_stage,0.8154954208979392,0.6259824318076747,0.0425599052563375,scatter,,,,
ST-37A,ST-37,1.0,multistage_stage1,2.7741160208007,0.7509283861122271,0.0341779246693007,scatter,,,,
ST-37A,ST-37,2.0,multistage_later,3.14988171552985,0.775874959069159,0.052368982954295,scatter,,,,
ST-37B,ST-37,1.0,multistage_stage1,0.007048848364951,0.4984710991749363,0.036702583033639,scatter,,,,
ST-37B,ST-37,2.0,multistage_later,16.412618174880706,0.9289241503798954,0.0707831331564815,scatter,,,,
ST-38A,ST-38,1.0,multistage_stage1,0.8539126856048425,0.6327536678363251,0.0523878589600336,scatter,,,,
ST-38A,ST-38,2.0,multistage_later,0.3884769958197142,0.5617474364868661,0.0383773801549864,scatter,,,,
ST-38B,ST-38,1.0,multistage_stage1,1.2559642374726694,0.6601679093310958,0.0353881128668854,scatter,,,,
ST-38B,ST-38,2.0,multistage_later,7.742067645247955,0.8655745776511707,0.0377283514116475,scatter,,,,
ST-39A,ST-39,1.0,multistage_stage1,1.1659456576299718,0.6537903229411676,0.0336168051727926,scatter,,,,
ST-39A,ST-39,2.0,multistage_later,3.54274734711765,0.8017996359320274,0.0658005748138627,scatter,,,,
ST-39B,ST-39,1.0,multistage_stage1,0.804702315963379,0.6214872575724623,0.0360106875294361,scatter,,,,
ST-39B,ST-39,2.0,multistage_later,5.778956101924747,0.8328868246421717,0.0403030694131233,scatter,,,,
ST-49A,ST-49,1.0,multistage_stage1,0.8145765722033977,0.6227472413848901,0.0341537418526462,scatter,,,,
ST-49A,ST-49,2.0,multistage_later,2.1984853162895317,0.7388049557085601,0.0568477842495322,scatter,,,,
ST-49B,ST-49,1.0,multistage_stage1,0.2869849174931124,0.5495534067860373,0.0142037797193345,scatter,,,,
ST-49B,ST-49,2.0,multistage_later,1.7489899414733308,0.7026702577849291,0.0386639069964746,scatter,,,,
ST-49B,ST-49,3.0,multistage_later,2.267710960928669,0.7386715659143553,0.0573921254275372,scatter,,,,
ST-51,ST-51,1.0,multistage_stage1,1.8572213777652968,0.6889054988585046,0.0320926654447521,scatter,,,,
ST-51,ST-51,2.0,multistage_later,9.307089453081057,0.8604911662804723,0.0458882043507634,scatter,,,,
ST-52,ST-52,1.0,multistage_stage1,0.3440665514194206,0.5581935888380108,0.0208717797318847,scatter,,,,
ST-52,ST-52,2.0,multistage_later,2.3808608062477505,0.7399039848903298,0.0368398371032906,scatter,,,,
ST-57,ST-57,1.0,multistage_stage1,0.4063616006583638,0.5702598675873874,0.0272647012730908,scatter,,,,
ST-57,ST-57,2.0,multistage_later,0.9209772452151316,0.6400953333036784,0.0545369638093214,scatter,,,,
ST-57,ST-57,3.0,multistage_later,0.2000607064626653,0.5375225207228361,0.0243433727024728,scatter,,,,
ST-59A,ST-59,1.0,multistage_stage1,0.3259630184490927,0.5549202650548538,0.0191935144710103,scatter,,,,
ST-59A,ST-59,2.0,multistage_later,3.5082118506941513,0.7897229925193943,0.0656908204814253,scatter,,,,
ST-62,ST-62,1.0,multistage_stage1,1.277211164963599,0.6689664361000071,0.04302438428766,scatter,,,,
ST-62,ST-62,2.0,multistage_later,2.093446061646205,0.7280108776866678,0.0730477176894454,scatter,,,,
ST-64,ST-64,1.0,multistage_stage1,1.1100843005569578,0.6530271091338417,0.0324433437413121,scatter,,,,
ST-64,ST-64,2.0,multistage_later,1.1532933196660835,0.6535981206866263,0.0800690562868673,scatter,,,,
ST-81,ST-81,1.0,multistage_stage1,1.3417442176420071,0.673680228307583,0.0565347325097283,scatter,,,,
ST-81,ST-81,2.0,multistage_later,2.147914639112247,0.7433423063165243,0.0763032513394179,scatter,,,,
ST-81,ST-81,3.0,multistage_later,1.5803835465067384,0.6951461304620836,0.0507846303497473,scatter,,,,
ST-81,ST-81,4.0,multistage_later,2.655236230185773,0.7570430113166796,0.052497300028773,scatter,,,,
ST-30,ST-30,1.0,multistage_stage1,0.7391334684085601,0.6074317492416582,0.0170294062900207,scatter,,,,
ST-30,ST-30,2.0,multistage_later,2.059026220047052,0.7072917086560265,0.0443664299234576,scatter,,,,
ST-30,ST-30,3.0,multistage_later,5.707508693840937,0.8316185419213393,0.040419035930079,scatter,,,,
ST-83,ST-83,1.0,multistage_stage1,1.6545473673716278,0.6866568888976388,0.0341900749480141,scatter,,,,
ST-83,ST-83,2.0,multistage_later,6.986752775654692,0.869008796200138,0.0678344162837029,scatter,,,,
ST-83,ST-83,3.0,multistage_later,2.000498154414083,0.7206759413551567,0.0463676349121446,scatter,,,,
ST-74,ST-74,1.0,multistage_stage1,0.5692398609427861,0.5918465607425498,0.0239737517215151,scatter,,,,
ST-74,ST-74,2.0,multistage_later,2.2732728226597905,0.7416826331507742,0.0741282682176407,scatter,,,,
ST-87,ST-87,1.0,multistage_stage1,0.4153249492990499,0.5706728569680892,0.0197082456394855,scatter,,,,
ST-87,ST-87,2.0,multistage_later,2.0065793129149023,0.7233540372670808,0.054604269293437,scatter,,,,
ST-87,ST-87,3.0,multistage_later,2.8956178355463114,0.7697261997768662,0.0646531240861724,scatter,,,,
ST-34A,ST-34,1.0,multistage_stage1,0.4331096324242064,0.578487442239661,0.0381327033139451,scatter,,,,
ST-34A,ST-34,2.0,multistage_later,1.4910303138857928,0.692267296411318,0.0568576315498261,scatter,,,,
ST-34A,ST-34,3.0,multistage_later,1.3636769447584094,0.6825114778200441,0.047591110296959,scatter,,,,
ST-34B,ST-34,1.0,multistage_stage1,1.8603766442786625,0.6877702046960178,0.0397247470605968,scatter,,,,
ST-34B,ST-34,2.0,multistage_later,6.3437287656195185,0.854117463273011,0.0615668085882657,scatter,,,,
ST-34B,ST-34,3.0,multistage_later,4.960496708747291,0.825095477861842,0.079914738959233,scatter,,,,
ST-79A,ST-79,1.0,multistage_stage1,0.3046151546227054,0.5583461621220505,0.0355818193443132,scatter,,,,
ST-79A,ST-79,2.0,multistage_later,1.4482392022001294,0.6943274666446192,0.0630243363543091,scatter,,,,
ST-79A,ST-79,3.0,multistage_later,0.6003638228304424,0.6066418541478658,0.0474047915151465,scatter,,,,
ST-79B,ST-79,1.0,multistage_stage1,0.3710854443160576,0.5613614361376856,0.0116587102460054,scatter,,,,
ST-79B,ST-79,2.0,multistage_later,4.470910180573907,0.8178193580689455,0.0673874922588654,scatter,,,,
ST-79B,ST-79,3.0,multistage_later,4.351672548275044,0.8092511787323627,0.0664665387610625,scatter,,,,
ST-80A,ST-80,1.0,multistage_stage1,0.6175199042272934,0.5962264050499899,0.0165874658202694,scatter,,,,
ST-80A,ST-80,2.0,multistage_later,1.6856383726779915,0.7033147565070147,0.0549507359025068,scatter,,,,
ST-80A,ST-80,3.0,multistage_later,1.824511273376009,0.720543719174062,0.0622756147944471,scatter,,,,
ST-80B,ST-80,1.0,multistage_stage1,0.6445204579206063,0.5983289917845633,0.0144704960271212,scatter,,,,
ST-80B,ST-80,2.0,multistage_later,0.4451784730914359,0.5704584519449234,0.0263319890269845,scatter,,,,
ST-80B,ST-80,3.0,multistage_later,2.4522980266935797,0.7503452250104804,0.0663842942471429,scatter,,,,
ST-80B,ST-80,4.0,multistage_later,0.7225674098926851,0.616363226599646,0.0388740307771785,scatter,,,,
,ST-30,,,,,,paired_tube,0.7391334684085601,2.059026220047052,1.0,1.3198927516384917
,ST-34,,,,,,paired_tube,1.1467431383514344,3.9173795397526554,2.0,2.7706364014012212
,ST-37,,,,,,paired_tube,1.3905824345828255,9.781249945205278,2.0,8.390667510622453
,ST-38,,,,,,paired_tube,1.054938461538756,4.065272320533834,2.0,3.0103338589950783
,ST-39,,,,,,paired_tube,0.9853239867966754,4.660851724521199,2.0,3.675527737724523
,ST-49,,,,,,paired_tube,0.5507807448482551,1.9737376288814312,2.0,1.422956884033176
,ST-51,,,,,,paired_tube,1.8572213777652968,9.307089453081057,1.0,7.449868075315759
,ST-52,,,,,,paired_tube,0.3440665514194206,2.3808608062477505,1.0,2.03679425482833
,ST-57,,,,,,paired_tube,0.4063616006583638,0.9209772452151316,1.0,0.5146156445567678
,ST-59,,,,,,paired_tube,0.3259630184490927,3.5082118506941513,1.0,3.1822488322450586
,ST-62,,,,,,paired_tube,1.277211164963599,2.093446061646205,1.0,0.8162348966826061
,ST-64,,,,,,paired_tube,1.1100843005569578,1.1532933196660835,1.0,0.04320901910912567
,ST-74,,,,,,paired_tube,0.5692398609427861,2.2732728226597905,1.0,1.7040329617170045
,ST-79,,,,,,paired_tube,0.3378502994693815,2.9595746913870182,2.0,2.6217243919176365
,ST-80,,,,,,paired_tube,0.6310201810739499,1.0654084228847136,2.0,0.43438824181076374
,ST-81,,,,,,paired_tube,1.3417442176420071,2.147914639112247,1.0,0.8061704214702397
,ST-83,,,,,,paired_tube,1.6545473673716278,6.986752775654692,1.0,5.332205408283064
,ST-87,,,,,,paired_tube,0.4153249492990499,2.0065793129149023,1.0,1.5912543636158525
