soil_type,model,n_rows,n_tubes,rmse_kPa,mae_kPa,bias_kPa
MH,Fredlund_suction,32.0,17.0,41.74723624362617,27.413178019113786,0.7637120948703964
MH,MC_baseline,32.0,17.0,48.8476459947643,38.033628696922094,-2.2493499378756914
ML,Fredlund_suction,46.0,15.0,58.80617144144471,48.06476839919117,8.94686263347528
ML,MC_baseline,46.0,15.0,61.04217783659583,47.870642682840796,4.309135973648682
SC,Fredlund_suction,8.0,4.0,44.94531848389612,37.189801127253716,20.040657676095087
SC,MC_baseline,8.0,4.0,58.77157794328558,49.45283838680787,17.834051418114335
