figure_id,specimen_id,tube_id,soil_type,test_family,family_normalized,protocol_group,stage,stage_index,strain_confidence,q_peak_kPa,eps_peak_pct,q0_kPa,q0_over_qpeak,delta_q_peak_kPa,lambda_phase5a,lambda_absolute_recomputed,lambda_incremental,absolute_prepeak_nrmse,incremental_prepeak_nrmse,lambda_change_after_q0_reset,lambda_scale_max_abs_diff,n_prepeak_points,n_q0_points
F-22,ST-37A,ST-37,MH,multistage,multistage,multistage_stage1,1st,1,template_axis,177.4,2.564102564102564,58.70090437937621,0.33089574058272947,118.6990956206238,6.672003767195702,6.672003767195702,2.7741160208007,0.047709461487363526,0.034177924669300745,-3.8978877463950017,3.9851393296430615e-09,176,9
F-22,ST-37A,ST-37,MH,multistage,multistage,multistage_later,2nd,2,template_axis,195.6,1.8608058608058609,24.135904846342505,0.12339419655594329,171.4640951536575,4.10143687937546,4.10143687937546,3.1498817155298506,0.033616645450490326,0.05236898295429502,-0.9515551638456095,1.0546259776589295e-07,128,7
F-23,ST-37B,ST-37,MH,multistage,multistage,multistage_stage1,1st,1,template_axis,177.2,2.298507462686567,24.45152185815971,0.13798827233724442,152.74847814184028,0.4215882052684649,0.4215882052684649,0.00704884836495101,0.03331812883130459,0.036702583033639054,-0.4145393569035139,1.4466379127595075e-09,155,8
F-23,ST-37B,ST-37,MH,multistage,multistage,multistage_later,2nd,2,template_axis,197.2,4.447761194029851,32.072775424339355,0.16264084900780607,165.12722457566065,19.886564797092525,19.886564797092525,16.412618174880706,0.04630189358885253,0.0707831331564815,-3.4739466222118196,6.630093807302728e-08,299,15
F-24,ST-38A,ST-38,MH,multistage,multistage,multistage_stage1,1st,1,template_axis,186.5,3.123388581952118,17.314085065460926,0.09283691724107736,169.18591493453908,1.2496247645913257,1.2496247645913257,0.8539126856048425,0.03631256570342042,0.05238785896003369,-0.3957120789864832,2.6533674146733688e-09,213,11
F-24,ST-38A,ST-38,MH,multistage,multistage,multistage_later,2nd,2,template_axis,180.1,1.6206261510128912,6.273219226616278,0.03483186688848572,173.82678077338372,0.4890032749721647,0.4890032749721647,0.3884769958197142,0.028735805068708067,0.03837738015498645,-0.10052627915245055,1.140256722376165e-09,111,6
F-25,ST-38B,ST-38,MH,multistage,multistage,multistage_stage1,1st,1,template_axis,103.4,3.02367941712204,18.17914504902164,0.1758137819054317,85.22085495097836,2.3016770387936343,2.3016770387936343,1.2559642374726694,0.031919099253174106,0.035388112866885486,-1.045712801320965,1.9926949423876295e-08,167,9
F-25,ST-38B,ST-38,MH,multistage,multistage,multistage_later,2nd,2,template_axis,195.1,4.772313296903461,29.46275232082817,0.15101359467364517,165.63724767917182,10.112043339491516,10.112043339491517,7.742067645247955,0.019469716811526323,0.03772835141164756,-2.3699756942435624,1.270430116662169e-07,263,14
F-26,ST-39A,ST-39,MH,multistage,multistage,multistage_stage1,1st,1,template_axis,146.1,2.6867924528301885,19.920592160581588,0.13634902231746468,126.1794078394184,1.9610426945079364,1.9610426945079364,1.1659456576299718,0.030212608384289165,0.03361680517279264,-0.7950970368779646,2.0624066010554998e-08,179,9
F-26,ST-39A,ST-39,MH,multistage,multistage,multistage_later,2nd,2,template_axis,166.2,1.9169811320754715,22.311063219851377,0.13424225764050168,143.8889367801486,4.66495355862502,4.66495355862502,3.54274734711765,0.04691874807387975,0.06580057481386271,-1.1222062115073697,5.631493227298279e-08,128,7
F-27,ST-39B,ST-39,MH,multistage,multistage,multistage_stage1,1st,1,template_axis,143.5,1.922365988909427,18.471569855886827,0.12872174115600576,125.02843014411317,1.4067517893306432,1.4067517893306432,0.804702315963379,0.028467065409254012,0.03601068752943614,-0.6020494733672641,3.834168871286181e-09,131,7
F-27,ST-39B,ST-39,MH,multistage,multistage,multistage_later,2nd,2,template_axis,207.3,4.273567467652495,22.036258775443933,0.10630129655303393,185.26374122455607,6.966261665786128,6.966261665786128,5.778956101924747,0.023445241680479036,0.04030306941312339,-1.187305563861381,7.591034467679947e-09,290,15
F-28,ST-49A,ST-49,MH,multistage,multistage,multistage_stage1,1st,1,template_axis,168.2,2.3670411985018727,23.646801992117844,0.14058740780093845,144.55319800788214,1.489966116109284,1.4899661161092839,0.8145765722033977,0.029406401667846836,0.034153741852646226,-0.6753895439058861,1.2423043704856696e-09,159,8
F-28,ST-49A,ST-49,MH,multistage,multistage,multistage_later,2nd,2,template_axis,202.7,2.411985018726591,21.157664940315964,0.1043792054282978,181.54233505968404,2.8786560593800843,2.8786560593800843,2.1984853162895317,0.0396242571785022,0.05684778424953228,-0.6801707430905526,5.915727907535029e-09,162,9
F-29,ST-49B,ST-49,MH,multistage,multistage,multistage_stage1,1st,1,template_axis,111.7,2.317757009345794,15.76452599388379,0.14113273047344485,95.93547400611621,0.8026491123809197,0.8026491123809197,0.28698491749311245,0.04089145993289669,0.01420377971933456,-0.5156641948878073,1.2867179544073792e-10,156,8
F-29,ST-49B,ST-49,MH,multistage,multistage,multistage_later,2nd,2,template_axis,169.6,2.332710280373832,15.133944954128438,0.08923316600311579,154.46605504587154,2.270240188178077,2.270240188178077,1.7489899414733308,0.0244310880893516,0.03866390699647468,-0.5212502467047462,2.050845715473315e-09,157,8
F-29,ST-49B,ST-49,MH,multistage,multistage,multistage_later,3rd,3,template_axis,206.2,3.0205607476635516,15.133944954128438,0.07339449541284403,191.06605504587156,2.688521864717334,2.688521864717334,2.267710960928669,0.043243951897504754,0.05739212542753722,-0.4208109037886647,1.0595051058714944e-08,203,11
F-30,ST-51,ST-51,MH,multistage,multistage,multistage_stage1,1st,1,template_axis,159.3,2.224677716390423,56.796893187264644,0.35654044687548425,102.50310681273537,5.657304106068023,5.657304106068023,1.8572213777652968,0.07497659968163252,0.03209266544475218,-3.800082728302726,2.0754840956982434e-08,152,8
