soil_type,stage_index,n_rows,n_tubes,mean_residual_kPa,median_residual_kPa,mean_abs_residual_kPa
MH,1,10,6,-6.283335028586793,-12.017576455034956,19.460912776614755
MH,2,10,6,-5.264758635085693,-8.117927678203245,19.124337250128427
MH,3,1,1,4.6602092016612175,4.6602092016612175,4.6602092016612175
ML,1,14,11,12.78720928339453,5.7161001786624865,34.11487026017495
ML,2,14,11,-5.172112869449445,0.1935274955200157,44.10184840950974
ML,3,11,8,-20.129960652059367,-16.65565224964007,50.605723771915834
ML,4,2,2,43.7440272428408,43.7440272428408,43.7440272428408
