soil_type,comparison,n_tubes,rmse_baseline_kPa,rmse_candidate_kPa,rmse_change_pct,bootstrap_change_p025_pct,bootstrap_change_p975_pct,bootstrap_prob_improvement
MH,Fredlund_vs_MC,17,48.8476459947643,41.74723624362617,-14.53582789209368,-39.144482289767126,10.709090463049282,0.884
ML,Fredlund_vs_MC,15,61.04217783659583,58.80617144144471,-3.6630514742391744,-18.82293460909447,18.549009952065923,0.6793333333333333
SC,Fredlund_vs_MC,4,58.77157794328558,44.94531848389612,-23.525418141285503,-46.928641181144144,-12.682887542508075,0.998
