stage_index,n_stages,n_specimens,n_tubes,median_lambda_incremental,median_y25,median_y50,median_y75,median_mean_y_10_90,median_mobilization_excess
1,25,25,18,0.7391334684085601,0.3403571007206295,0.653276955602537,0.8567392924847174,0.6074317492416582,0.10743174924165821
2,25,25,18,2.1984853162895317,0.4786015349306508,0.8259638182461676,0.9515627237057265,0.7399039848903298,0.23990398489032982
3,12,12,9,2.1341045576713764,0.4708623353967132,0.8276054129244147,0.960614296920505,0.729673753634756,0.229673753634756
4,2,2,2,1.688901820039229,0.4257806805740414,0.7436417226429213,0.9279523166241099,0.6867031189581628,0.18670311895816283
