soil_type,n_rows,n_tubes,S_RMSE,S_MAE,S_bias_FX_minus_measured,S_correlation,rho_d_MAE_g_cm3,suction_min_kPa,suction_max_kPa
MH,8.0,5.0,0.06643998848995633,0.050398432246516134,0.03327500248003257,0.8415794125881984,0.042499999999999954,20.7,152.0
ML,14.0,3.0,0.11925887290753596,0.10098844770293257,-0.04463960028510351,0.7137156877233591,0.12999999999999998,6.9,89.6
