figure_id,specimen_id,tube_id,soil_type,stage_index,q0_fraction,q0_kPa,q0_over_qpeak,y25,y50,y75,mean_y_10_90
F-22,ST-37A,ST-37,MH,1,0.02,51.84749929955056,0.2922632429512433,0.5689994082577363,0.835402676566103,0.9611877386627038,0.7645242018413895
F-22,ST-37A,ST-37,MH,1,0.05,58.70090437937621,0.33089574058272947,0.544114453326866,0.8258992163531207,0.9589468104768758,0.7509283861122271
F-22,ST-37A,ST-37,MH,1,0.1,69.12999906606743,0.38968432393499114,0.5002013334272059,0.8091289795191114,0.9549923669834413,0.7269365931631566
F-22,ST-37A,ST-37,MH,1,0.15,79.26111961885316,0.446793233477188,0.4486058747924111,0.7894248896516199,0.9503461171575273,0.6987475789572244
F-22,ST-37A,ST-37,MH,2,0.02,24.135904846342505,0.12339419655594329,0.5335114563022603,0.8593531437832826,0.9766561512764504,0.775874959069159
F-22,ST-37A,ST-37,MH,2,0.05,24.135904846342505,0.12339419655594329,0.5335114563022603,0.8593531437832826,0.9766561512764504,0.775874959069159
F-22,ST-37A,ST-37,MH,2,0.1,27.4136203193026,0.14015143312526893,0.5244202521242551,0.8566121348043158,0.9762012125691373,0.7715070779367421
F-22,ST-37A,ST-37,MH,2,0.15,48.569783826590466,0.2483117782545525,0.45598912845000716,0.8359800688250134,0.9727768073600156,0.7386292536007772
F-23,ST-37B,ST-37,MH,1,0.02,22.70498458257687,0.12813196717029837,0.21581915935571155,0.5374924778239866,0.8036694410293642,0.5041407896675802
F-23,ST-37B,ST-37,MH,1,0.05,24.45152185815971,0.13798827233724442,0.2068527782457712,0.5322041329740447,0.8014245830527118,0.4984710991749363
F-23,ST-37B,ST-37,MH,1,0.1,27.627044177401228,0.1559088271862372,0.19001379360932252,0.522272550032328,0.7972087095005658,0.4878233439737648
F-23,ST-37B,ST-37,MH,1,0.15,28.42092475721161,0.1603889658984854,0.18569173206862202,0.5197234110196491,0.7961266213976557,0.48509038505472385
F-23,ST-37B,ST-37,MH,2,0.02,22.546208466614797,0.11433168593618051,0.921817844159255,0.963636010659576,0.9527269237464491,0.932801013484546
F-23,ST-37B,ST-37,MH,2,0.05,32.072775424339355,0.16264084900780607,0.9173073369159453,0.9615380890104249,0.9499996319422999,0.9289241503798954
F-23,ST-37B,ST-37,MH,2,0.1,73.03701334255497,0.370370250215796,0.890025116861013,0.9488486159638959,0.9335033553283616,0.9054745854776752
F-23,ST-37B,ST-37,MH,2,0.15,104.15713207112188,0.5281801829164395,0.8532417341404628,0.931739973681385,0.9112621720620143,0.8738585982635845
F-24,ST-38A,ST-38,MH,1,0.02,15.432119297476042,0.08274594797574285,0.35277439991783455,0.679879144955993,0.9336420189093625,0.6367938478088115
F-24,ST-38A,ST-38,MH,1,0.05,17.314085065460926,0.09283691724107736,0.3455748855611613,0.6763182309694831,0.9329038756136072,0.6327536678363251
F-24,ST-38A,ST-38,MH,1,0.1,22.081731677689298,0.1184007060465914,0.32659848037426814,0.6669324108577345,0.9309582851789886,0.6221046034150824
F-24,ST-38A,ST-38,MH,1,0.15,25.594734444594415,0.13723718200854915,0.311896280334278,0.659660632906998,0.9294509153961484,0.6138541116165628
