group,n_stages,n_tubes,median_eps_peak_pct,median_lambda,mean_eps_log_residual,median_eps_log_residual,mean_lambda_log_residual,median_lambda_log_residual,mean_joint_abs_shape_error,median_joint_abs_shape_error,n_high_tick
multistage_later,39,18,2.333333333333333,2.8101903466204847,-0.18059351954899666,-0.15647769711640314,0.05742649180300082,-0.0482823014462912,0.4252579438702702,0.3793990548450382,0
multistage_stage1,25,18,2.590909090909091,1.2496247645913257,-0.17401632892171012,-0.1881447933567575,-0.31966234116139974,-0.4409623987198822,0.43292315123205993,0.40606877763976795,0
