group,n_stages,n_specimens,n_tubes,median_q0_over_qpeak,mean_q0_over_qpeak,median_lambda_absolute,median_lambda_incremental,median_absolute_nrmse,median_incremental_nrmse,median_lambda_change_after_q0_reset,max_xscale_lambda_abs_diff
single_stage,20,20,19,0.16612554112554112,0.17307103696203935,3.114049193216678,1.8849720402542816,0.026579182342126736,0.03711827799144089,-1.166584256030934,8.390363914756449e-08
multistage_stage1,25,25,18,0.13998544968474547,0.1608767522435965,1.2496247645913257,0.7391334684085601,0.031919099253174106,0.03361680517279264,-0.5847251023114157,4.3407710093035234e-08
multistage_later,39,25,18,0.07655972307407649,0.0893757605440532,2.8101903466204847,2.1984853162895317,0.043189161421960644,0.0549507359025068,-0.4914576924658447,1.270430116662169e-07
