baseline_model,candidate_model,subset,n_tubes,n_stages,baseline_curve_nrmse_mean,candidate_curve_nrmse_mean,curve_error_change_pct,bootstrap_p025_pct,bootstrap_p975_pct,prob_candidate_better
Suction,State,all,36,84,0.15824777178990207,0.14620938787292767,-7.607300741622562,-17.459827675166885,3.3549686638906984,0.9188
Suction,State,high_tick_only,16,16,0.1622627254153492,0.1393661406181882,-14.110809946370532,-29.826505455250267,4.806416953601562,0.9302
Suction,StateInteraction,all,36,84,0.15824777178990207,0.13975990147288356,-11.682862960979927,-23.548809783468464,0.7803426562326665,0.9668
Suction,StateInteraction,high_tick_only,16,16,0.1622627254153492,0.13937975329199498,-14.10242066671808,-30.08699194305952,8.226449525623172,0.9098
State,StateInteraction,all,36,84,0.14620938787292767,0.13975990147288356,-4.4111301564639875,-10.917899332991741,2.447298704450589,0.8978
State,StateInteraction,high_tick_only,16,16,0.1393661406181882,0.13937975329199498,0.009767561723674352,-12.188832107859819,15.030183472271503,0.506
StateInteraction,StateHistory,all,36,84,0.13975990147288356,0.1394061432418721,-0.2531185463665387,-9.335392397957666,11.568262934209598,0.5226
StateInteraction,StateHistory,high_tick_only,16,16,0.13937975329199498,0.1634524276734179,17.271284969913545,-1.697897036178135,42.77512298491225,0.0398
