soil_type,candidate_model,n_tubes,rmse_baseline_kPa,rmse_candidate_kPa,rmse_change_pct,bootstrap_change_p025_pct,bootstrap_change_p975_pct,bootstrap_prob_improvement
MH,Fredlund_plus_Sr,17,41.74723624362618,43.65511402851324,4.570069677794165,0.26174885920226554,13.838621599432496,0.017333333333333333
MH,Fredlund_plus_gamma,17,41.74723624362618,35.3556221029178,-15.310268932315807,-31.987434691739193,10.994242199358201,0.894
MH,Fredlund_plus_state,17,41.74723624362618,36.470619751723646,-12.639439078336956,-31.961186021154248,16.996687383117475,0.8393333333333334
ML,Fredlund_plus_Sr,15,58.80617144144471,47.10975445847965,-19.889778056052464,-37.781894074721606,-2.128763108262616,0.9853333333333333
ML,Fredlund_plus_gamma,15,58.80617144144471,51.11674057356315,-13.07589098116715,-27.316399484996513,3.3730170324997437,0.957
ML,Fredlund_plus_state,15,58.80617144144471,48.29973834549589,-17.86620832204734,-34.33176056095873,-0.25965480186334705,0.9763333333333334
SC,Fredlund_plus_Sr,4,44.945318483896166,45.02341526845278,0.17375955314366232,-5.739037011229953,15.610359472690895,0.457
SC,Fredlund_plus_gamma,4,44.945318483896166,52.81370534962398,17.506577172318945,1.9599530811343622,73.78631604695967,0.0
SC,Fredlund_plus_state,4,44.945318483896166,52.3658280828517,16.510083473130333,2.1676648724585488,77.07134215346812,0.0
