soil_type,model,n_rows,n_tubes,rmse_kPa,mae_kPa,bias_kPa
MH,Fredlund_suction,32.0,17.0,41.74723624362618,27.413178019113836,0.7637120948703107
MH,MC_baseline,32.0,17.0,48.84764599476429,38.03362869692209,-2.2493499378757176
ML,Fredlund_suction,46.0,15.0,58.80617144144471,48.06476839919117,8.946862633475268
ML,MC_baseline,46.0,15.0,61.04217783659583,47.870642682840796,4.309135973648699
SC,Fredlund_suction,8.0,4.0,44.945318483896166,37.18980112725375,20.040657676095122
SC,MC_baseline,8.0,4.0,58.771577943285635,49.4528383868079,17.834051418114377
