soil_type,model,calibration_rows,calibration_tubes,A_kPa,B_sigma,D_suction,c_prime_kPa,phi_prime_deg,phi_b_deg,predictor_corr_sigma_suction,predictor_condition_standardized,qc_phi_b_gt_phi_prime
MH,MC_baseline,25,13,97.33426437877799,1.2347934309422224,0.0,32.5549522177972,22.440419068052925,0.0,-0.6207101661392848,2.067126606557148,False
MH,Fredlund_suction,25,13,6.260097318811939,1.8556900514936128,0.9853716963496081,1.8522327327620776,28.76943336977422,16.25409752548967,-0.6207101661392848,2.067126606557148,False
ML,MC_baseline,32,11,126.06277799871116,1.0399298527295933,0.0,44.131558100776616,20.004264423921615,0.0,-0.28883267714359545,1.3462086375181521,False
ML,Fredlund_suction,32,11,63.90443525735473,1.298397367254919,0.8025950959263369,21.07601251512703,23.181487948109208,14.826165234552592,-0.28883267714359545,1.3462086375181521,False
SC,MC_baseline,7,3,134.87882252559717,0.8667235494880547,0.0,49.359842714194365,17.59816872731593,0.0,-0.4317658229829141,1.5873486247300908,False
SC,Fredlund_suction,7,3,57.92516773153003,1.344050977971608,1.0806021753577835,18.91706596101281,23.69844922386339,19.437964105452643,-0.4317658229829141,1.5873486247300908,False
