soil_type,comparison,n_tubes,rmse_baseline_kPa,rmse_candidate_kPa,rmse_change_pct,bootstrap_change_p025_pct,bootstrap_change_p975_pct,bootstrap_prob_improvement
MH,Fredlund_vs_MC,17,48.84764599476429,41.74723624362618,-14.535827892093637,-39.14448228976708,10.7090904630493,0.884
ML,Fredlund_vs_MC,15,61.04217783659583,58.80617144144471,-3.6630514742391744,-18.82293460909448,18.54900995206589,0.6793333333333333
SC,Fredlund_vs_MC,4,58.771577943285635,44.945318483896166,-23.525418141285503,-46.928641181144165,-12.68288754250803,0.998
